Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4
113.0629119,34.84052034,1.0575,1012,1128,1304,985
113.0631956,34.84061481,0.93,1012,1149,1330,1055
113.0582638,34.84041323,0.985,1020,1193,1348,1086
113.0627526,34.84060843,0.9975,1007,1125,1291,969
113.0628557,34.84088897,0.995,1000,1141,1325,1089
113.0596373,34.84080278,0.9675,1039,1161,1346,1030
113.0626785,34.84060802,1.0325,985,1112,1240,955
113.0584913,34.8398812,1.03,1038,1173,1349,1045
113.0585252,34.8398311,1.04,1049,1148,1356,1031
113.0585415,34.83980879,1.0425,1049,1148,1356,1031
113.069821,34.84637646,1.0775,1023,1141,1337,1082
113.0585278,34.83982706,1.045,1049,1148,1356,1031
113.0584343,34.83990246,1.0575,1038,1173,1349,1045
113.0627098,34.84389003,0.9875,1048,1155,1369,1010
113.0583954,34.83990741,1.0825,1038,1173,1349,1045
113.0629307,34.84046953,1.115,1012,1128,1304,985
113.058563,34.8397893,1.0875,1049,1169,1353,1036
113.0627569,34.84072398,1.085,1012,1125,1320,1053
113.0629329,34.84044862,1.17,1018,1141,1272,924
113.0634215,34.83900591,1.125,890,1022,950,1957
113.0584794,34.84002569,1.0675,1032,1164,1346,1059
113.0584718,34.84000473,1.09,1032,1164,1346,1059
113.0749076,34.83832481,1.0575,1022,1154,1358,1110
113.0627146,34.84070395,1.1175,1012,1125,1320,1053
113.0636276,34.84037507,1.0625,1023,1153,1337,1050
113.0628629,34.84090742,1.1,1000,1141,1325,1089
113.0626591,34.84068392,1.1325,1001,1133,1298,1057
113.0624044,34.84062292,1.095,985,1104,1233,950
113.0626841,34.84384161,1.045,1048,1155,1369,1010
113.0585807,34.83977386,1.11,1049,1169,1353,1036
113.0620537,34.8430651,1.1475,1044,1198,1360,997
113.0730418,34.84880794,1.125,1055,1165,1371,1035
113.0627665,34.84051212,1.1375,1007,1125,1291,969
113.0602926,34.8413081,1.2,1010,1152,1338,1045
113.0626191,34.84061431,1.14,985,1112,1240,955
113.0584327,34.83940643,1.2725,1021,1135,1328,1055
113.0726312,34.84874649,1.16,1055,1178,1371,1021
113.0720662,34.85018981,1.27,1053,1188,1371,1029
113.0624267,34.84062455,1.19,985,1104,1233,950
113.062351,34.8405693,1.17,985,1104,1233,950
113.0631803,34.84095718,1.1975,1017,1124,1322,1092
113.0627565,34.84074647,1.1475,1012,1125,1320,1053
113.0632606,34.84082589,1.235,1006,1141,1336,1073
113.0707103,34.83798743,1.215,1013,1175,1331,1299
113.0628556,34.84086629,1.2325,1000,1141,1325,1089
113.0627857,34.84037129,1.2,1012,1116,1219,880
113.0598361,34.84077586,1.1925,1050,1207,1383,979
113.0720551,34.85010496,1.285,1047,1159,1371,1019
113.0601272,34.84117011,1.245,1021,1169,1349,1022
113.0584485,34.839982,1.27,1032,1164,1346,1059
113.0591745,34.84053168,1.455,1043,1176,1356,1021
113.0623675,34.84058211,1.18,985,1104,1233,950
113.0633503,34.84065833,1.1775,1012,1141,1336,1073
113.0635583,34.84042058,1.225,1023,1153,1337,1050
113.0624518,34.84076713,1.375,1012,1125,1294,1057
113.0627548,34.84066653,1.145,1012,1125,1320,1053
113.058622,34.83974868,1.2275,1049,1169,1353,1036
113.0598947,34.84099632,1.23,1044,1148,1346,1039
113.0598275,34.84090406,1.2475,1050,1174,1368,993
113.0626738,34.84428916,1.2475,1057,1207,1402,1001
113.0720694,34.8501979,1.365,1053,1188,1371,1029
113.062664,34.84429206,1.2475,1057,1207,1402,1001
113.0603052,34.84130122,1.2375,1044,1194,1371,984
113.0636528,34.839651,1.2875,984,1111,1189,873
