Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,predicted_depth
113.0584417,34.84015965,0.8975,1032,1164,1353,1055,1.0382416666666672
113.0748827,34.83837424,0.8875,1022,1154,1358,1110,1.0982750000000039
113.0591881,34.84047926,0.91,1043,1180,1370,984,1.7525833333199958
113.0628311,34.84057986,0.89,1007,1125,1291,969,1.0912166666666647
113.0582978,34.84026945,0.9475,1021,1143,1346,1087,1.033541666666664
113.0634373,34.83900122,0.945,890,1022,950,1957,2.2174750000000034
113.063304,34.84067969,0.9675,1012,1141,1336,1073,1.183491666666671
113.0627177,34.84407064,0.9875,1054,1176,1380,991,2.338402777776667
113.062897,34.8405331,1.0375,1012,1128,1304,985,1.1417833333333354
113.0612331,34.84256661,0.9675,1059,1209,1377,992,1.768233333323333
113.062846,34.84066636,0.9025,1012,1125,1320,1053,1.0852472222233347
113.0628424,34.84075688,0.96,1012,1125,1320,1053,1.1022416666666697
113.0584097,34.8395738,0.9775,1027,1164,1338,1055,1.730841666666668
113.0628319,34.8407767,0.9625,1012,1125,1320,1053,1.1274416666666705
113.0633008,34.84068308,0.99,1012,1141,1336,1073,1.1772666666666707
113.0612343,34.8425609,0.975,1059,1209,1377,992,1.768233333323333
113.0629219,34.84078407,0.995,1012,1153,1325,1073,1.7242083333333358
113.0584124,34.8395605,0.9875,1027,1164,1338,1055,1.83015
113.0626223,34.84068668,0.955,1001,1133,1298,1057,1.863852777776664
113.0629949,34.84072811,0.9775,1012,1153,1325,1073,1.6966583333333356
113.0584213,34.83950618,1.005,1027,1164,1338,1055,1.6613499999999972
113.0583999,34.8398054,1.0,1038,1173,1349,1045,1.0608166666666619
113.0626708,34.84066446,0.996666667,1001,1133,1298,1057,1.8433611111099972
113.0582687,34.84042008,0.95,1020,1193,1348,1086,1.6649944444399962
113.0698765,34.84636242,0.9375,1023,1141,1337,1082,1.1269861111099966
113.0717256,34.84830206,1.0,1061,1166,1375,999,2.008699999999999
113.0633652,34.84077687,0.995,1012,1141,1336,1073,1.165925000000004
113.061252,34.84253191,0.9975,1059,1209,1377,992,1.7822999999900002
113.0612362,34.84255505,0.98,1059,1209,1377,992,1.768233333323333
113.0671466,34.84443704,1.0175,1044,1169,1357,994,3.166413888889998
113.0635047,34.83904227,1.106666667,890,1022,950,1957,3.0180249999999957
113.0633181,34.84066544,1.045,1012,1141,1336,1073,1.1965250000000047
113.0633317,34.84065708,1.055,1012,1141,1336,1073,1.2120166666666714
113.0584035,34.83981967,1.015,1038,1173,1349,1045,1.0503999999999956
113.062899,34.84081277,1.1075,1000,1141,1325,1089,1.271391666666669
113.0584661,34.84011677,0.9875,1032,1164,1346,1059,1.3329249999999977
113.0584248,34.83947958,1.0425,1027,1164,1338,1055,1.83720833333333
113.062892,34.84053626,1.0175,1012,1128,1304,985,1.1306916666666682
113.0584846,34.84006355,1.025,1032,1164,1346,1059,1.3858333333333306
113.0584867,34.83988728,1.03,1038,1173,1349,1045,1.3022166666666632
113.0628102,34.8405723,1.035,1007,1125,1291,969,1.0882499999999968
113.0584156,34.83984884,1.045,1038,1173,1349,1045,1.0538749999999966
113.0633225,34.84055372,1.0425,1012,1149,1330,1055,1.5020666666666693
113.0627281,34.84060218,1.0125,1007,1125,1291,969,1.0857583333333325
113.0626416,34.84071786,1.0225,1001,1133,1298,1057,1.8213777777766653
113.0584514,34.83991477,1.0475,1038,1173,1349,1045,1.3355166666666667
113.0632743,34.84075535,1.02,1012,1141,1336,1073,1.1949166666666704
113.0728328,34.84894197,1.0475,1033,1182,1371,1031,1.0877416666666666
113.0671211,34.84443822,1.0775,1044,1169,1357,994,3.166330555556664
113.0635147,34.84044727,1.0725,1040,1136,1340,1031,2.1316500000000045
113.0584268,34.83987973,1.0575,1038,1173,1349,1045,1.0901750000000001
113.0583868,34.83990401,1.08,1038,1173,1349,1045,1.1150249999999986
113.0626119,34.84061531,1.0975,985,1112,1240,955,1.1507666666666632
113.0576078,34.82925218,0.905,1090,1335,1552,1903,3.4179416666666746
113.0628956,34.8409813,0.995,1017,1136,1322,1103,1.9235416666666636
113.0584567,34.83996753,1.09,1032,1164,1346,1059,1.4355833333333303
113.0627846,34.84051401,1.115,1007,1125,1291,969,1.1641055555566637
113.0749076,34.83832481,1.0575,1022,1154,1358,1110,1.0986833333333341
113.0598259,34.84079088,1.06,1050,1207,1383,979,1.4754416666666685
113.0585863,34.83976969,1.0925,1049,1169,1353,1036,1.1385250000000056
113.0629319,34.84045714,1.1775,1018,1141,1272,924,1.4377583333333352
113.0634922,34.839043,1.2075,890,1022,950,1957,3.0286249999999963
113.0627827,34.84050895,1.1025,1007,1125,1291,969,1.159774999999997
113.0627387,34.84074398,1.105,1012,1125,1320,1053,1.1699249999999994
113.0749153,34.83831209,1.0525,1022,1154,1358,1110,1.1210666666666673
113.0636381,34.84036795,1.065,1023,1153,1337,1050,1.4127833333333346
113.0716925,34.84832307,1.1075,1061,1166,1375,999,2.0261499999999986
113.0627482,34.84074897,1.1025,1012,1125,1320,1053,1.1410166666666666
113.0598434,34.84094373,1.2325,1050,1174,1368,993,1.1839083333333356
113.062868,34.84091958,1.0725,1000,1141,1325,1089,1.3870666666666687
113.0636116,34.84038602,1.0575,1023,1153,1337,1050,1.4128000000000014
113.0626591,34.84068392,1.1325,1001,1133,1298,1057,1.8384694444433307
113.0728166,34.84894739,1.1425,1033,1182,1371,1031,1.0886166666666666
113.0584006,34.83991822,1.1125,1038,1173,1349,1045,1.1017333333333328
113.0628314,34.84081944,1.0525,1000,1141,1325,1089,1.3415583333333354
113.0620537,34.8430651,1.1475,1044,1198,1360,997,1.2072888888900033
113.0730418,34.84880794,1.125,1055,1165,1371,1035,1.143933333333334
113.063199,34.84093814,1.1975,1017,1124,1322,1092,1.599674999999996
113.0749325,34.83828646,1.15,1005,1150,1343,1054,1.4916000000000036
113.0627812,34.84052698,1.16,1007,1125,1291,969,1.194913888889999
113.0619141,34.84344753,1.1675,1054,1239,1387,903,1.4896083333333288
113.0625555,34.84067564,1.16,1001,1133,1298,1057,2.000911111109997
113.0620567,34.84306247,1.2,1044,1198,1360,997,1.2072888888900033
113.0625628,34.84062078,1.17,985,1112,1240,955,1.2599499999999972
113.0629349,34.84043999,1.19,1018,1141,1272,924,1.4837916666666682
113.0642945,34.84592597,1.1775,1080,1199,1442,1042,1.8037916666666676
113.0642911,34.84592065,1.1925,1080,1199,1442,1042,1.8037916666666676
113.0695018,34.84551393,1.29,1034,1158,1355,1050,1.8036416666666635
113.0633468,34.84065666,1.1825,1012,1141,1336,1073,1.2232916666666716
113.0598465,34.84094767,1.2825,1050,1174,1368,993,1.1864833333333342
113.0631737,34.84096368,1.125,1017,1124,1322,1092,1.6015416666666626
113.063467,34.83904081,1.303333333,890,1022,950,1957,2.726024999999999
113.0707116,34.83797208,1.1975,1013,1175,1331,1299,1.5291583333333276
113.0632208,34.84090765,1.155,1006,1141,1336,1073,1.6824666666666712
113.0601285,34.84117717,1.27,1021,1169,1349,1022,1.3208833333333343
113.0624939,34.84066004,1.3,1012,1125,1294,1057,1.552916666666663
113.0594694,34.84036432,1.195,1050,1182,1368,1002,1.4155499999999999
113.0628556,34.84086629,1.2325,1000,1141,1325,1089,1.2242833333333343
113.0707139,34.83804189,1.2625,1013,1175,1331,1299,1.526330555553328
113.0625303,34.84064472,1.285,1012,1125,1294,1057,1.564824999999996
113.0619051,34.84346769,1.22,1054,1239,1387,903,1.4896083333333288
113.0598295,34.84089872,1.2525,1050,1174,1368,993,1.2566166666666687
113.0624873,34.8407211,1.25,1012,1125,1294,1057,1.5409999999999962
113.0624518,34.84076713,1.375,1012,1125,1294,1057,1.5173416666666673
113.0629009,34.84099478,1.136666667,1017,1136,1322,1103,1.9389249999999973
113.0629442,34.84040103,1.2275,1018,1141,1272,924,1.465466666666668
113.0599044,34.84100112,1.2375,1044,1148,1346,1039,1.359250000000001
113.0635887,34.83972656,1.285,984,1111,1189,873,1.3367333333333316
113.062246,34.84049643,1.2225,985,1104,1233,950,1.5819305555533352
113.0635857,34.83973112,1.3075,984,1111,1189,873,1.334499999999998
113.059634,34.84078856,1.0875,1044,1195,1368,1007,1.573691666663335
113.0625249,34.84065356,1.3125,1012,1125,1294,1057,1.5570916666666628
113.0626542,34.8407042,1.2275,1001,1133,1298,1057,1.8107194444433325
113.0695233,34.84547189,1.24,1040,1175,1358,998,2.2396500000000006
113.0624821,34.84067448,1.215,1012,1125,1294,1057,1.5489583333333299
113.0598376,34.84088673,1.2725,1050,1174,1368,993,1.294683333333336
113.0598449,34.84087803,1.29,1050,1174,1368,993,1.3270333333333364
113.0613056,34.84247889,1.2875,1059,1209,1377,992,1.7995166666566675
113.0633592,34.84068962,1.2725,1012,1141,1336,1073,1.2086166666666707
113.0739149,34.83843935,1.2325,1016,1166,1332,1062,1.9631333333233352
113.0635382,34.84043314,1.2775,1040,1136,1340,1031,2.097941666666671
113.0601785,34.8412003,1.36,1021,1169,1349,1022,1.3912749999999947
113.0623761,34.8406187,1.3825,985,1104,1233,950,1.4004861111133338
113.0623353,34.84067667,1.3475,1012,1150,1291,1057,2.5848222222233326
113.0598558,34.8409637,1.3075,1050,1174,1368,993,1.1840416666666669
113.0598534,34.84095986,1.3225,1050,1174,1368,993,1.1848416666666668
113.0629497,34.84038133,1.255,1018,1141,1272,924,1.455141666666668
113.0620633,34.84305504,1.3125,1044,1198,1360,997,1.2059611111133368
113.0627935,34.84019894,1.3075,985,1099,1132,805,1.447155555556663
113.0651604,34.84738521,1.305,1213,1410,1707,1374,1.668975000000007
113.0651823,34.84733567,1.3175,1108,1280,1462,1071,1.5129416666666657
113.0651556,34.84740165,1.325,1213,1410,1707,1374,1.668975000000007
113.0629865,34.83987909,1.325,901,1015,1008,723,1.3046666666666697
113.06435,34.84210386,1.4225,1017,1136,1332,1071,2.543191666666665
113.0643644,34.84210203,1.3325,1017,1136,1332,1071,2.5468333333333315
113.0664657,34.84404142,1.325,1039,1178,1357,1022,1.3833083333333265
