Longitude,Latitude,Band_1,Band_2,Band_3,Band_4
113.04885014207723,34.863990501467434,32767,32767,32767,32767
113.04901706267174,34.863990501467434,32767,32767,32767,32767
113.04918398326625,34.863990501467434,32767,32767,32767,32767
113.04935090386076,34.863990501467434,32767,32767,32767,32767
113.04951782445526,34.863990501467434,32767,32767,32767,32767
113.04968474504977,34.863990501467434,32767,32767,32767,32767
113.04985166564428,34.863990501467434,32767,32767,32767,32767
113.05001858623879,34.863990501467434,32767,32767,32767,32767
113.0501855068333,34.863990501467434,32767,32767,32767,32767
113.05035242742781,34.863990501467434,32767,32767,32767,32767
113.05051934802232,34.863990501467434,32767,32767,32767,32767
113.05068626861683,34.863990501467434,32767,32767,32767,32767
113.05085318921134,34.863990501467434,32767,32767,32767,32767
113.05102010980585,34.863990501467434,32767,32767,32767,32767
113.05118703040036,34.863990501467434,32767,32767,32767,32767
113.05135395099487,34.863990501467434,32767,32767,32767,32767
113.05152087158937,34.863990501467434,32767,32767,32767,32767
113.05168779218388,34.863990501467434,32767,32767,32767,32767
113.0518547127784,34.863990501467434,32767,32767,32767,32767
113.0520216333729,34.863990501467434,32767,32767,32767,32767
113.05218855396741,34.863990501467434,32767,32767,32767,32767
113.05235547456192,34.863990501467434,32767,32767,32767,32767
113.05252239515643,34.863990501467434,32767,32767,32767,32767
113.05268931575094,34.863990501467434,32767,32767,32767,32767
113.05285623634545,34.863990501467434,32767,32767,32767,32767
113.05302315693996,34.863990501467434,32767,32767,32767,32767
113.05319007753447,34.863990501467434,32767,32767,32767,32767
113.05335699812898,34.863990501467434,32767,32767,32767,32767
113.05352391872349,34.863990501467434,32767,32767,32767,32767
113.053690839318,34.863990501467434,32767,32767,32767,32767
113.0538577599125,34.863990501467434,32767,32767,32767,32767
113.05402468050701,34.863990501467434,32767,32767,32767,32767
113.05419160110152,34.863990501467434,32767,32767,32767,32767
113.05435852169603,34.863990501467434,32767,32767,32767,32767
113.05452544229054,34.863990501467434,32767,32767,32767,32767
113.05469236288505,34.863990501467434,32767,32767,32767,32767
113.05485928347957,34.863990501467434,32767,32767,32767,32767
113.05502620407408,34.863990501467434,32767,32767,32767,32767
113.05519312466859,34.863990501467434,32767,32767,32767,32767
113.0553600452631,34.863990501467434,32767,32767,32767,32767
113.05552696585761,34.863990501467434,32767,32767,32767,32767
113.05569388645212,34.863990501467434,32767,32767,32767,32767
113.05586080704663,34.863990501467434,32767,32767,32767,32767
113.05602772764114,34.863990501467434,32767,32767,32767,32767
113.05619464823565,34.863990501467434,32767,32767,32767,32767
113.05636156883016,34.863990501467434,32767,32767,32767,32767
113.05652848942466,34.863990501467434,32767,32767,32767,32767
113.05669541001917,34.863990501467434,1327,1625,2153,2769
113.05686233061368,34.863990501467434,1299,1579,2150,2727
113.05702925120819,34.863990501467434,1305,1579,2135,2713
113.0571961718027,34.863990501467434,1299,1617,2132,2709
113.05736309239721,34.863990501467434,1316,1625,2161,2736
113.05753001299172,34.863990501467434,1305,1600,2150,2704
113.05769693358623,34.863990501467434,1310,1617,2161,2732
113.05786385418074,34.863990501467434,1321,1642,2189,2764
113.05803077477525,34.863990501467434,1350,1656,2202,2797
113.05819769536976,34.863990501467434,1350,1656,2202,2797
113.05836461596427,34.863990501467434,1339,1668,2187,2778
113.05853153655877,34.863990501467434,1361,1676,2176,2802
113.05869845715328,34.863990501467434,1361,1668,2173,2830
113.0588653777478,34.863990501467434,1372,1672,2162,2862
113.0590322983423,34.863990501467434,1372,1672,2162,2862
113.05919921893681,34.863990501467434,1372,1664,2180,2774
113.05936613953132,34.863990501467434,1366,1651,2180,2806
113.05953306012583,34.863990501467434,1405,1693,2212,2853
113.05969998072034,34.863990501467434,1405,1693,2212,2853
113.05986690131485,34.863990501467434,1395,1703,2284,2881
113.06003382190936,34.863990501467434,1406,1707,2331,2899
113.06020074250387,34.863990501467434,1408,1699,2336,2892
113.06036766309838,34.863990501467434,1408,1712,2336,2836
113.06053458369288,34.863990501467434,1408,1712,2336,2836
113.0607015042874,34.863990501467434,1385,1712,2286,2720
113.0608684248819,34.863990501467434,1230,1540,2106,2525
113.06103534547643,34.863990501467434,1174,1435,1936,2394
113.06120226607094,34.863990501467434,1174,1435,1936,2394
113.06136918666544,34.863990501467434,1180,1398,1925,2371
113.06153610725995,34.863990501467434,1193,1446,1928,2420
113.06170302785446,34.863990501467434,1182,1425,1870,2509
113.06186994844897,34.863990501467434,1082,1342,1639,2774
113.06203686904348,34.863990501467434,1071,1342,1639,2900
113.06220378963799,34.863990501467434,971,1224,1308,3170
113.0623707102325,34.863990501467434,954,1199,1171,3221
113.06253763082701,34.863990501467434,932,1170,1142,3179
113.06270455142152,34.863990501467434,932,1170,1142,3179
113.06287147201603,34.863990501467434,932,1170,1142,3179
113.06303839261054,34.863990501467434,971,1203,1232,3058
113.06320531320505,34.863990501467434,1177,1367,1531,2844
113.06337223379956,34.863990501467434,1308,1583,1967,2671
113.06353915439406,34.863990501467434,1286,1524,2039,2601
113.06370607498857,34.863990501467434,1286,1524,2039,2601
113.06387299558308,34.863990501467434,1292,1566,2061,2578
113.06403991617759,34.863990501467434,1303,1566,2086,2596
113.0642068367721,34.863990501467434,1314,1591,2100,2615
113.06437375736661,34.863990501467434,1314,1591,2100,2615
113.06454067796112,34.863990501467434,1303,1583,2108,2619
113.06470759855563,34.863990501467434,1303,1604,2111,2638
113.06487451915014,34.863990501467434,1320,1591,2129,2661
113.06504143974465,34.863990501467434,1346,1640,2188,2764
113.06520836033916,34.863990501467434,1346,1640,2188,2764
113.06537528093367,34.863990501467434,1352,1673,2288,2829
113.06554220152817,34.863990501467434,1374,1703,2299,2857
113.06570912212268,34.863990501467434,1329,1640,2260,2801
113.06587604271719,34.863990501467434,1329,1640,2260,2801
113.0660429633117,34.863990501467434,1357,1686,2234,2783
113.06620988390621,34.863990501467434,1341,1644,2234,2759
113.06637680450072,34.863990501467434,1335,1623,2202,2731
113.06654372509523,34.863990501467434,1324,1610,2202,2713
113.06671064568974,34.863990501467434,1324,1656,2216,2778
113.06687756628425,34.863990501467434,1379,1715,2259,2775
113.06704448687877,34.863990501467434,1385,1694,2274,2766
113.06721140747328,34.863990501467434,1374,1715,2274,2766
113.06737832806779,34.863990501467434,1374,1715,2274,2766
113.0675452486623,34.863990501467434,1394,1717,2290,2789
113.06771216925681,34.863990501467434,1350,1667,2214,2775
113.06787908985132,34.863990501467434,1333,1663,2185,2757
113.06804601044583,34.863990501467434,1366,1671,2189,2757
113.06821293104034,34.863990501467434,1366,1671,2189,2757
113.06837985163484,34.863990501467434,1327,1630,2167,2710
113.06854677222935,34.863990501467434,1345,1648,2162,2691
113.06871369282386,34.863990501467434,1345,1657,2184,2626
113.06888061341837,34.863990501467434,1345,1657,2184,2626
113.06904753401288,34.863990501467434,1295,1598,2119,2510
113.06921445460739,34.863990501467434,1173,1422,1946,2291
113.0693813752019,34.863990501467434,1095,1280,1690,1970
113.06954829579641,34.863990501467434,1101,1275,1722,2091
113.06971521639092,34.863990501467434,1101,1275,1722,2091
113.06988213698543,34.863990501467434,1195,1414,1881,2361
113.07004905757994,34.863990501467434,1284,1564,2072,2542
113.07021597817445,34.863990501467434,1256,1496,2053,2561
113.07038289876895,34.863990501467434,1256,1496,2053,2561
113.07054981936346,34.863990501467434,1289,1576,2161,2691
113.07071673995797,34.863990501467434,1372,1655,2229,2701
113.07088366055248,34.863990501467434,1389,1689,2276,2631
113.07105058114699,34.863990501467434,1428,1706,2276,2552
113.0712175017415,34.863990501467434,1372,1710,2254,2664
113.07138442233601,34.863990501467434,1411,1706,2269,2617
113.07155134293052,34.863990501467434,1439,1731,2276,2570
113.07171826352503,34.863990501467434,1461,1747,2291,2505
113.07188518411954,34.863990501467434,1461,1747,2291,2505
113.07205210471405,34.863990501467434,1451,1777,2284,2516
113.07221902530856,34.863990501467434,1440,1723,2244,2455
113.07238594590306,34.863990501467434,1401,1668,2205,2450
113.07255286649757,34.863990501467434,1339,1601,2140,2530
113.07271978709208,34.863990501467434,1339,1601,2140,2530
113.07288670768659,34.863990501467434,1312,1555,2071,2511
113.07305362828112,34.863990501467434,1351,1614,2140,2693
113.07322054887563,34.863990501467434,1373,1702,2234,2753
113.07338746947013,34.863990501467434,1373,1702,2234,2753
113.07355439006464,34.863990501467434,1367,1668,2201,2720
113.07372131065915,34.863990501467434,1328,1606,2188,2663
113.07388823125366,34.863990501467434,1400,1694,2242,2575
113.07405515184817,34.863990501467434,1445,1719,2238,2454
113.07422207244268,34.863990501467434,1445,1719,2238,2454
113.07438899303719,34.863990501467434,1434,1715,2235,2416
113.0745559136317,34.863990501467434,1456,1715,2228,2393
113.07472283422621,34.863990501467434,1415,1692,2196,2351
113.07488975482072,34.863990501467434,1415,1692,2196,2351
113.07505667541523,34.863990501467434,1432,1704,2196,2355
113.07522359600974,34.863990501467434,1432,1688,2189,2355
113.07539051660424,34.863990501467434,1443,1705,2201,2386
113.07555743719875,34.863990501467434,1449,1722,2234,2386
113.07572435779326,34.863990501467434,1449,1722,2234,2386
113.07589127838777,34.863990501467434,1443,1726,2226,2391
113.07605819898228,34.863990501467434,1438,1713,2237,2386
113.07622511957679,34.863990501467434,1471,1717,2237,2405
113.0763920401713,34.863990501467434,1471,1717,2237,2405
113.07655896076581,34.863990501467434,1482,1751,2259,2377
113.07672588136032,34.863990501467434,1471,1751,2216,2349
113.07689280195483,34.863990501467434,1415,1667,2158,2270
113.07705972254934,34.863990501467434,1351,1603,2078,2211
113.07722664314385,34.863990501467434,1351,1603,2078,2211
113.07739356373835,34.863990501467434,1363,1612,2089,2220
113.07756048433286,34.863990501467434,1357,1566,2067,2197
113.07772740492737,34.863990501467434,1335,1586,2028,2164
113.07789432552188,34.863990501467434,1335,1586,2028,2164
113.07806124611639,34.863990501467434,1318,1553,1995,2122
113.0782281667109,34.863990501467434,1257,1440,1941,2122
113.07839508730541,34.863990501467434,1402,1658,2136,2313
113.07856200789992,34.863990501467434,1440,1704,2215,2360
113.07872892849443,34.863990501467434,1440,1704,2215,2360
113.07889584908894,34.863990501467434,1420,1701,2220,2395
113.07906276968345,34.863990501467434,1398,1672,2235,2414
113.07922969027797,34.863990501467434,1459,1751,2278,2460
113.07939661087248,34.863990501467434,1459,1751,2278,2460
113.07956353146699,34.863990501467434,1453,1772,2293,2512
113.0797304520615,34.863990501467434,1437,1760,2318,2581
113.079897372656,34.863990501467434,1459,1747,2347,2707
113.08006429325052,34.863990501467434,1442,1743,2303,2619
113.08023121384502,34.863990501467434,1442,1743,2303,2619
113.08039813443953,34.863990501467434,1414,1743,2314,2684
113.08056505503404,34.863990501467434,1362,1654,2243,2753
113.08073197562855,34.863990501467434,1340,1646,2254,2795
113.08089889622306,34.863990501467434,1340,1646,2254,2795
113.08106581681757,34.863990501467434,1351,1688,2283,2772
113.08123273741208,34.863990501467434,1346,1688,2268,2800
113.08139965800659,34.863990501467434,1346,1658,2232,2753
113.0815665786011,34.863990501467434,1324,1612,2218,2739
113.08173349919561,34.863990501467434,1324,1612,2218,2739
113.08190041979012,34.863990501467434,1368,1636,2208,2660
113.08206734038463,34.863990501467434,1290,1594,2168,2688
113.08223426097913,34.863990501467434,1272,1585,2144,2667
113.08240118157364,34.863990501467434,1272,1585,2144,2667
113.08256810216815,34.863990501467434,1261,1560,2137,2662
113.08273502276266,34.863990501467434,1261,1539,2126,2686
113.08290194335717,34.863990501467434,1299,1594,2201,2797
113.08306886395168,34.863990501467434,1299,1619,2209,2811
113.08323578454619,34.863990501467434,1299,1619,2209,2811
113.0834027051407,34.863990501467434,1299,1585,2245,2835
113.08356962573521,34.863990501467434,1322,1631,2252,2905
113.08373654632972,34.863990501467434,1316,1631,2219,2793
113.08390346692423,34.863990501467434,1316,1631,2219,2793
