Longitude,Latitude,depth,stumpf,log-linear,random_forest_prediction,random_forest_depth
113.0660377,34.84527378,4.5525,2.986130500687338,2.9502710043654163,3.1572268452380943,3.8941749999999953
113.0600301,34.84022995,3.47,2.9929873641271314,2.953018717037768,3.5137271825396845,3.2567666666700035
113.062274,34.84190575,4.5675,2.995631749236196,2.94987001231135,2.767851278860028,2.6713500000000012
113.0644259,34.84275486,3.565,3.0846414258017063,2.9521213315556927,3.2243837499999994,3.0415000000000036
113.0582638,34.84041323,0.985,2.8320993161100034,2.9494538728321804,1.8110891666666655,1.6508499999999977
113.0606961,34.84124717,2.6025,2.9576373622855243,2.949500328270199,3.5729294444455557,2.7945499999999983
113.0641585,34.84331597,3.715,3.1677552116182284,2.9531637907540973,3.781607173154269,3.181975
113.071835,34.84924919,2.4275,3.021050462375811,2.9501217945365443,2.3936240277777774,2.365400000000003
113.0584661,34.84011677,0.9875,3.034228408547449,2.951271631816682,1.8429760714285728,1.4121000000000012
113.0635619,34.84244033,3.9675,3.1468990383637987,2.9543095463919795,2.923119999999997,3.6264916666699962
113.0717864,34.8505155,1.9875,3.060700641727621,2.951539276317813,2.0788231746031745,1.9813249999999993
113.0683512,34.84783584,3.855,3.1642572068211337,2.9519550746754493,3.366626964285718,3.8315999999999972
113.0673396,34.84858412,3.89,3.03708330872729,2.949109033668252,3.093324431814848,3.8612749999999934
113.0716817,34.84925491,2.34,3.021050462375811,2.9501217945365443,2.3936240277777774,2.3485500000000026
113.0663506,34.84834854,2.1275,2.9607655533828705,2.947203968022292,1.9972454166666656,2.051049999999999
113.0643377,34.84407037,3.775,2.994267705605665,2.9498315920793563,4.71532066468254,4.730025000000001
113.0674086,34.84536742,1.885,3.205026867351662,2.9505382792983017,3.1595700297619054,2.851025000000001
113.0645857,34.8443591,5.4325,3.085891096452201,2.951728121953656,3.9661948710317465,3.9711000000000007
113.0673272,34.83808031,3.39,2.885751730648579,2.9533002406086086,3.6780725000000025,3.696183333330004
113.068027,34.84489749,1.6925,3.1443698749153413,2.952281406009203,1.7027696581890337,1.689274999999999
113.0612839,34.8410097,4.9725,2.9503264745962667,2.9507854966701603,4.752704017857142,5.117225000000004
113.0661202,34.84686314,3.755,2.9089652821019314,2.947819756706451,3.6174683333333335,3.8081250000000058
113.0691454,34.85026629,3.9125,3.015761823314804,2.9507438027513087,3.3644458333333325,3.867675000000001
113.0621626,34.84144705,5.52,3.179957334003447,2.954225008295216,3.445380833319998,4.51275
113.0628814,34.83934129,2.1325,3.198289912997268,2.946692435510613,2.2061051704545456,2.172525000000001
113.0598972,34.8406967,1.9175,2.949380222755323,2.9497227948513367,2.2399424305555558,2.3054500000000013
113.0628993,34.839942,1.335,3.0349871176458407,2.950575424572553,1.37636375,1.3406499999999995
113.0647555,34.84392463,4.095,3.1369023245518832,2.9519771280599985,4.090730833333331,3.9921499999999965
113.0701972,34.83815966,1.66,2.768943905745616,2.946974044302629,2.811832916666666,2.633425
113.0664686,34.84644523,4.035,3.066110394988541,2.9514244225684423,3.750126309523811,4.032300000000003
113.0694093,34.84565354,1.563333333,3.07384295806105,2.951818772638007,1.8835466666633327,2.170908333339999
113.0631956,34.84238842,4.185,3.0348427737221613,2.952567540891993,3.9338710897438425,4.0520999999999985
113.0599869,34.84035176,3.2175,3.086494318947487,2.9516011393743176,3.200165416666664,2.9723416666599975
113.063828,34.8449657,3.8825,3.0989750205863658,2.951230474098252,3.723415119047616,3.631699999999995
113.070616,34.8476185,1.6525,3.1134163464293323,2.9520734385225214,2.749298869004286,2.3856499999999996
113.0646661,34.84466321,4.5075,3.127214054820371,2.950601099242072,4.220064166666667,4.3494999999999955
113.0621422,34.84119219,5.6025,3.1480724430605846,2.953182333412245,4.775296785714286,5.196674999999998
113.0641703,34.84508158,4.21,3.026391677627416,2.950080944737374,2.5214496230125407,3.3812999999999964
113.0668726,34.84807288,3.9775,3.1115633837034835,2.950145590329122,3.304864216267347,3.2869000000000046
113.0600644,34.84083119,2.0475,3.024847547937356,2.949178926194134,1.9680104451104456,1.9855749999999999
113.0633777,34.84142736,2.1525,3.0160228308249515,2.952450891258469,4.205542916666668,2.482675000000002
113.0626315,34.83974485,1.9475,3.3281931227174937,2.9566939544640425,2.0200247997835503,2.0164500000000003
113.0623761,34.8406187,1.3825,3.0673610834175378,2.9525441560559607,1.2778331150793647,1.498075000000001
113.0589826,34.82912451,3.335,3.311130210626658,2.9761137882716704,3.326566646825398,3.343999999999998
113.0630067,34.83924986,2.77,3.207308317472496,2.9473685683194315,2.66277125,2.852600000000001
113.0631645,34.83972695,1.5275,3.2296127630654894,2.951120727739496,1.6932260714285703,1.5510499999999987
113.0621145,34.83892244,2.8625,3.454723912623109,2.9661017254365696,3.1959854685592206,2.9734250000000007
113.0706337,34.84914897,3.0975,3.013047974826719,2.950377193915756,2.9525806114713844,2.870708333329998
113.0727632,34.8489638,1.72,2.9543842604967523,2.9503867633663177,0.8889890476190482,1.0230750000000008
113.0584072,34.82912274,3.2425,3.3846453647984163,3.2639116538313093,3.2598705871212097,3.227474999999997
113.0617619,34.84041284,3.9325,3.02494315004796,2.950994332061293,6.44312898809524,6.1540000000000035
113.0656087,34.84765638,1.575,3.1691026190540583,2.9506488248238214,3.243289335317463,1.9373250000000022
113.066579,34.84555323,3.825,3.0619541348707884,2.951563703198258,2.8951754929792437,3.6042416666699997
113.0629442,34.84040103,1.2275,3.068697852537099,2.9505495215975266,2.9184408333333325,2.0498166666699986
113.0621712,34.83931276,2.96,3.252993534732198,2.960951626194413,2.709237410714286,2.8863499999999997
113.0683928,34.84633924,2.2775,3.070438687822673,2.951120506340426,2.501596190476191,2.525125000000001
113.0627565,34.84074647,1.1475,3.1142385339401386,2.9534645442808456,1.165598749999999,1.1492499999999992
113.064186,34.84534577,3.675,2.9894533710047426,2.9509146143970786,2.689641428571429,3.636400000000001
113.0600228,34.84103501,1.45,3.176165813893704,2.952375769676483,1.5668840277777774,1.5299749999999985
113.0645064,34.84363974,4.0,3.074086264115081,2.9535183536936875,4.063385416666668,3.9670000000000067
113.0628752,34.84054526,1.01,3.0993806680119604,2.952549501123959,1.0881738888888877,1.2557499999999981
113.0611537,34.84176674,2.735,3.026391677627416,2.949940603159636,3.3996666369047643,3.0684500000000026
113.0639841,34.84010663,0.5525,3.011042829747339,2.950558384839628,2.167298541656665,1.4305249999999998
113.0685495,34.84759852,3.4175,3.14500984349516,2.951822047027625,3.004468849206346,3.39981666667
113.0603356,34.84075205,3.33,3.0835705913023475,2.950769973152615,3.4665618055555525,2.783124999999998
113.0654346,34.84336144,2.125,2.973206503328754,2.950454822482714,2.2090232142857142,2.1815916666700006
113.0604564,34.84057748,4.275,3.054016346580795,2.9514083016395536,4.168262857146188,4.070733333329999
113.060445,34.84155036,0.4875,3.006997223795011,2.951142394479412,0.5234578869047619,0.7902750000000005
113.0590215,34.83944234,3.3775,2.9903562247781394,2.95214864280214,3.4732124999999963,3.5466999999999986
113.0655875,34.8439182,2.375,3.067352855874063,2.9512924677175376,2.1309362797585703,2.684949999999998
113.0647955,34.84473168,3.9525,2.986130500687338,2.950116059934055,3.420813040293034,3.8544750000000034
113.0630797,34.83865073,2.406666667,3.165851403221538,2.954008423716174,2.012778333314836,3.218824999999999
113.0702151,34.84790274,2.35,3.0220668796624324,2.94871912980195,2.3772562671356416,2.3751250000000037
113.0693193,34.85005185,3.635,3.074710711860192,2.950791884651676,3.650368333342996,3.6924499999999956
113.0667743,34.84873852,2.5625,2.887480049736567,2.9469056388804584,2.457320416666666,2.4402500000000007
113.0584403,34.84000533,1.865,3.034228408547449,2.951271631816682,1.8429760714285728,1.2738499999999997
