Longitude,Latitude,depth,stumpf,log-linear,random_forest,random_forest_depth
113.0628486,34.84087343,1.02,3.038627720045554,2.983571425110729,1.7505327976190472,1.2284000000000008
113.0625707,34.84061985,1.186666667,3.089560051990347,2.9831697829712334,1.5052141468266471,1.259666666666664
113.0720525,34.85015979,1.513333333,3.187074673291121,2.98271850935615,1.4491433333333328,1.5333361111866608
113.0629194,34.84105575,1.756666667,3.142293577349065,2.983937411782545,1.9439577281746028,1.8851833333333297
113.0716616,34.85061223,2.16,3.0501331092663264,2.981973526737801,2.172635168650795,2.1055499999999885
113.0686763,34.84619433,2.116666667,3.179598046886966,2.9810166834256853,2.1451198875047623,2.186705555506668
113.0620108,34.84314429,0.275,3.0279152245517764,2.9794517529579068,0.5622837500000003,0.35554166666666537
113.0601464,34.84133773,0.425,3.040774731828506,2.982772447168045,1.5906542857142858,0.600625
113.060445,34.84155036,0.4875,3.0720973296461267,2.9820269966690685,0.6861942857142859,0.5181916666666649
113.0604183,34.84157605,0.495,3.0720973296461267,2.9820269966690685,0.6861942857142859,0.5308166666666656
113.0605089,34.84148196,0.5225,3.0720973296461267,2.9820269966690685,0.6861942857142859,2.4686833333366662
113.0604766,34.84148556,0.5475,3.0720973296461267,2.9820269966690685,0.6861942857142859,0.8710166666666646
113.0604813,34.84150446,0.545,3.0720973296461267,2.9820269966690685,0.6861942857142859,1.5195805555566648
113.0604784,34.84148324,0.545,3.0720973296461267,2.9820269966690685,0.6861942857142859,0.9369166666666645
113.0639841,34.84010663,0.5525,3.075618170597864,2.981339715100549,1.2675016666666652,0.5639249999999998
113.0640612,34.84003039,0.5875,2.950080123709526,2.978497577740435,0.7630854166666673,0.7349499999999981
113.0605361,34.84146349,0.5775,3.114560800809514,2.980035578831622,1.6604002183366915,1.4939583335199977
113.0641782,34.83990109,0.595,3.034420996288432,2.9802278900569124,0.92519,0.6733833333333318
113.0641173,34.83996663,0.5925,2.950080123709526,2.978497577740435,0.7630854166666673,0.7845833333333313
113.0584114,34.8404476,0.6375,3.123542793286859,2.982414131375401,0.7048917460317463,0.6554500000000022
113.0584116,34.84044683,0.635,3.123542793286859,2.982414131375401,0.7048917460317463,0.6554500000000022
113.0637934,34.84025368,0.6325,3.1344580563118,2.9825817464955247,3.428260932507738,2.199200000000001
113.058413,34.84044006,0.635,3.123542793286859,2.982414131375401,0.7048917460317463,0.6539000000000011
113.0584099,34.8404433,0.6375,3.123542793286859,2.982414131375401,0.7048917460317463,0.6555333333333354
113.0640085,34.84008659,0.64,3.075618170597864,2.981339715100549,1.2675016666666652,0.6243666666666655
113.0584096,34.84044367,0.6425,3.123542793286859,2.982414131375401,0.7048917460317463,0.6555333333333354
113.0640031,34.84009113,0.6375,3.075618170597864,2.981339715100549,1.2675016666666652,0.6243666666666655
113.0584125,34.840452,0.645,3.123542793286859,2.982414131375401,0.7048917460317463,0.6499833333333317
113.0608892,34.84200731,0.665,3.1194533343558533,2.980583523088784,1.3077041071429896,1.1516916666433354
113.0609101,34.842016,0.665,3.1194533343558533,2.980583523088784,1.3077041071429896,1.2039305555333355
113.0584036,34.8403893,0.6525,3.123542793286859,2.982414131375401,0.7048917460317463,0.6567750000000016
113.0584114,34.84041085,0.655,3.123542793286859,2.982414131375401,0.7048917460317463,0.6519333333333351
113.064217,34.83987043,0.6625,2.906605829686711,2.979009103705765,2.902231805556666,2.3410861111100005
113.0583993,34.84036538,0.6575,3.123542793286859,2.982414131375401,0.7048917460317463,0.687058333333332
113.058407,34.84040175,0.6575,3.123542793286859,2.982414131375401,0.7048917460317463,0.6519333333333351
113.0638609,34.84020327,0.685,3.1344580563118,2.9825817464955247,3.428260932507738,2.1869333333333345
113.0601254,34.84125388,0.655,3.022777475736546,2.981641435539242,1.086909062465312,0.7958333333333317
113.060864,34.84194558,0.705,3.10323127955931,2.9802591661352955,2.0956914833704308,1.0556361110133348
113.0727664,34.8486061,0.72,3.148048667919923,2.982130381420796,0.72689961489899,1.0526583333333361
113.0584173,34.84025128,0.695,3.0957962937989407,2.9822438015976287,1.2586210714285722,0.907566666666667
113.0638013,34.84024788,0.6825,3.1344580563118,2.9825817464955247,3.428260932507738,2.204925000000001
113.0727812,34.84860919,0.7225,3.148048667919923,2.982130381420796,0.72689961489899,0.7802583333333323
113.0727516,34.84860369,0.7225,3.1199256513800293,2.9821295341485325,1.088154166666666,1.0112277777766692
113.0638167,34.84023642,0.735,3.1344580563118,2.9825817464955247,3.428260932507738,2.1944666666666675
113.0584202,34.84024361,0.7075,3.0957962937989407,2.9822438015976287,1.2586210714285722,0.9112250000000002
113.072771,34.84860689,0.725,3.148048667919923,2.982130381420796,0.72689961489899,1.0526583333333361
113.0727593,34.84860497,0.7275,3.148048667919923,2.982130381420796,0.72689961489899,1.0523666666666696
113.0602013,34.84134283,0.71,3.040774731828506,2.982772447168045,1.5906542857142858,0.7395749999999971
113.0602079,34.84134379,0.755,3.040774731828506,2.982772447168045,1.5906542857142858,0.7286749999999974
113.0621057,34.84313254,0.735,3.012995771466038,2.9797657377017925,1.1622143055555554,0.9034138888899982
113.0608889,34.84185184,0.75,3.10323127955931,2.9802591661352955,2.0956914833704308,1.2616416664666656
113.0584237,34.84022922,0.735,3.0957962937989407,2.9822438015976287,1.2586210714285722,0.9089833333333335
113.0605453,34.84169131,0.7575,3.1547567889255674,2.9817698732356983,2.511409926941385,2.0224222222499986
113.0597172,34.84095098,0.7775,3.138738186741236,2.981453218932204,1.020716552092988,0.784216666666664
113.0597182,34.84095242,0.78,3.138738186741236,2.981453218932204,1.020716552092988,0.7799499999999956
113.0602262,34.8413448,0.7875,3.040774731828506,2.982772447168045,1.5906542857142858,0.7644249999999995
113.0597054,34.84093922,0.785,3.138738186741236,2.981453218932204,1.020716552092988,0.8097166666666693
113.0582976,34.84046001,0.7875,2.9198858382140287,2.9803873593234007,1.2663139880952383,1.7039055555499965
113.062726,34.84401234,0.8425,3.1490404560241103,2.98152802673782,2.637429502164504,2.3294694444433333
113.0627277,34.84400189,0.8425,3.1490404560241103,2.98152802673782,2.637429502164504,2.3379277777766663
113.0596983,34.84091432,0.83,3.138738186741236,2.981453218932204,1.020716552092988,0.8479666666666706
113.0597153,34.84093532,0.815,3.138738186741236,2.981453218932204,1.020716552092988,0.8077583333333362
113.0597101,34.84092483,0.8225,3.138738186741236,2.981453218932204,1.020716552092988,0.8079666666666699
113.0597009,34.84091643,0.8375,3.138738186741236,2.981453218932204,1.020716552092988,0.8303083333333376
113.0729575,34.8489064,0.8575,3.0263089167469133,2.9812314814323337,0.9107841664585412,0.9637250000000014
113.0748816,34.8383771,0.81,3.090046223776924,2.9833482751444818,2.625544166665002,1.1122583333333371
113.0729889,34.84888672,0.8675,3.0263089167469133,2.9812314814323337,0.9107841664585412,0.9835916666666685
113.0729468,34.8489113,0.8675,3.0263089167469133,2.9812314814323337,0.9107841664585412,1.0041333333333344
113.0613092,34.8422667,0.9175,3.055865951877607,2.980385057662337,2.9320349007936515,2.4382111111033327
113.0596548,34.84085387,0.88,3.1412826708422585,2.982165167199585,2.22089375,1.141424999999995
113.0628752,34.84054526,1.01,3.1524975014607577,2.983511421917008,1.2118558333333334,1.1247416666666679
113.0584395,34.84016482,0.88,3.0957962937989407,2.9822438015976287,1.2586210714285722,1.0056166666666668
113.0591938,34.84046152,0.9075,3.1683914064116863,2.9825396286626105,1.4800073914973917,1.2704222222199935
