Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,stumpf,log-linear,random_forest_prediction,random_forest_depth
113.0618453,34.8410037,5.9275,1012.0,1153.0,1343.0,1047.0,2.9897503796198777,3.114846615744992,5.326833333333333,5.556512459207456
113.0603473,34.841232,1.835,1044.0,1194.0,1371.0,984.0,2.967995679331537,3.0802121093652763,1.7191774674561124,1.8430283406907386
113.0658814,34.84666674,3.9,1072.0,1180.0,1377.0,976.0,3.204734130281878,3.0825340180884067,4.0760259556415805,3.955527424889272
113.0645695,34.84359644,3.85,1017.0,1140.0,1342.0,1063.0,3.0903022378345923,3.1254144568647617,4.840898347763346,4.315023099459094
113.0618506,34.83886879,2.95,835.0,915.0,862.0,911.0,3.222920727225059,3.102125507318445,3.2146238609226243,3.1418628541888185
113.0672828,34.84683559,3.7825,1041.0,1157.0,1362.0,1047.0,3.143943747961174,3.1170718424431203,3.646939583333337,3.595586661867357
113.0613521,34.84182943,4.32,1049.0,1181.0,1375.0,966.0,3.064954015810727,3.0754484781976457,3.513078033771783,3.8246297420274034
113.0637575,34.8395848,1.336666667,962.0,1082.0,1152.0,882.0,3.0667399513097,3.0373297484978274,2.6820101124418563,2.158585833333327
113.0597565,34.83909988,8.0975,1033.0,1165.0,1357.0,1156.0,3.053549565529849,3.1517568939725464,7.690097916666665,8.136909999999952
113.0627386,34.84132223,3.845,1023.0,1153.0,1325.0,1084.0,3.0569284215065835,3.12902031817844,3.648016352813852,3.6095150480769114
113.0614223,34.84179118,4.795,1033.0,1185.0,1371.0,970.0,2.948809835904328,3.074866337687874,4.520406785714286,4.7019262499999925
113.0657554,34.84703748,3.58,1056.0,1184.0,1377.0,1009.0,3.090595622175244,3.0955001978609653,3.5304294642857146,3.5731660165084027
113.0622701,34.84164954,5.8475,1051.0,1174.0,1369.0,1009.0,3.113383250087338,3.09749882010924,4.767376524725277,5.408414442307657
113.0587306,34.82910199,3.375,805.0,863.0,801.0,866.0,3.359512556454362,3.145197583017361,3.366113253968253,3.3546605435724706
113.068561,34.85070489,4.1775,1101.0,1253.0,1488.0,1218.0,3.001091729299418,3.157791360970816,3.7534413988095294,3.8472540000000133
113.0620275,34.83772932,2.9525,835.0,878.0,808.0,815.0,3.482520752359548,3.0703046906571183,3.0406545634920645,2.9879566203088594
113.0656126,34.844486,3.4075,1044.0,1165.0,1353.0,1060.0,3.119324049973443,3.119677522882299,4.861280297617381,4.125789255533207
113.060081,34.84059049,2.635,1033.0,1169.0,1357.0,1016.0,3.032439539081409,3.099935059203316,3.3652225,3.3219832142857033
113.0682349,34.84648329,2.585,1044.0,1170.0,1371.0,1007.0,3.092930661515396,3.09724795111508,2.50259660714286,2.582137477599414
113.0617307,34.83911956,2.57,857.0,911.0,872.0,934.0,3.414566932499497,3.134565075680716,2.7249881746031748,2.6453656666640155
113.0687203,34.8484125,4.1425,1037.0,1172.0,1361.0,1038.0,3.040649795553932,3.1088011643370783,3.324996765873016,3.1015013654811763
113.0657587,34.84480561,5.1925,1055.0,1165.0,1360.0,1050.0,3.1844091274171262,3.116992242956385,5.314244047619049,4.821201722097617
113.0639213,34.83928526,5.0,1073.0,1257.0,1297.0,1891.0,2.822404143163041,3.266788104479161,3.8577069047619066,4.400333333332009
113.0720551,34.85010496,1.285,1047.0,1159.0,1371.0,1019.0,3.168990272350925,3.105855005410421,1.4824326454037466,1.4194627779673303
113.0666072,34.84889453,1.845,1106.0,1256.0,1428.0,983.0,3.014438269203808,3.0717093798695227,1.8488670833333325,1.8945049999999901
113.0620537,34.8430651,1.1475,1044.0,1198.0,1360.0,997.0,2.947449754251892,3.0847547040443404,1.3399665575396822,1.2500638194444458
