Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,stumpf,log-linear,random_forest_prediction,random_forest_depth
113.0660377,34.84527378,4.5525,1038.0,1181.0,1356.0,1041.0,3.060216318007072,3.129294460562766,3.648249999999996,3.637384340226253
113.0600301,34.84022995,3.47,1000.0,1136.0,1350.0,1039.0,3.06478047745442,3.1331145029701286,3.5094833333333315,3.4976055555555643
113.062274,34.84190575,4.5675,1045.0,1187.0,1365.0,1000.0,3.066540669324056,3.1088041889648967,2.207377500000001,2.867436442531402
113.0644259,34.84275486,3.565,1028.0,1149.0,1336.0,1061.0,3.1257885105227388,3.142524716604183,3.3958175,3.286799567099578
113.0582638,34.84041323,0.985,1020.0,1193.0,1348.0,1086.0,2.957687969229561,3.1465030244727576,3.0492427976190486,2.5602699999999947
113.0606961,34.84124717,2.6025,1044.0,1194.0,1378.0,975.0,3.0412503245957723,3.094313637494688,3.354812470238095,2.9912414285714237
113.0641585,34.84331597,3.715,1028.0,1132.0,1324.0,1063.0,3.181111848091028,3.1461428696502165,3.2208455913220515,3.082377142857151
113.071835,34.84924919,2.4275,1048.0,1185.0,1376.0,985.0,3.083460221643314,3.1011300720458133,2.636621686509047,2.5149649999999975
113.0584661,34.84011677,0.9875,1032.0,1164.0,1346.0,1059.0,3.092231906837874,3.139531664228591,1.9920000000000024,1.7386474999999932
113.0635619,34.84244033,3.9675,1017.0,1124.0,1350.0,1089.0,3.167229276120537,3.1573472032822822,3.365472619047619,3.4574287499999943
113.0717864,34.8505155,1.9875,1036.0,1163.0,1364.0,1029.0,3.109852717609826,3.1259458149060326,2.275434166666664,1.9931710000000062
113.0683512,34.84783584,3.855,1049.0,1156.0,1355.0,1030.0,3.17878345818189,3.1280821783413244,3.924703928571428,3.885683578609577
113.0673396,34.84858412,3.89,1073.0,1210.0,1399.0,983.0,3.09413222463499,3.097537165209539,3.5314422619047603,3.7561499166666823
113.0716817,34.84925491,2.34,1048.0,1185.0,1376.0,985.0,3.083460221643314,3.1011300720458133,2.636621686509047,2.5149649999999975
113.0663506,34.84834854,2.1275,1094.0,1251.0,1417.0,982.0,3.0433325540401057,3.0927889060782427,3.015665714285713,2.6449725000000064
113.0643377,34.84407037,3.775,1043.0,1185.0,1362.0,983.0,3.065632715902268,3.1000627243649097,4.611325000000001,4.917766488688889
113.0674086,34.84536742,1.885,1083.0,1185.0,1377.0,1018.0,3.205921118558166,3.119334178547832,2.8898016666666666,2.918492389801379
113.0645857,34.8443591,5.4325,1038.0,1160.0,1369.0,1007.0,3.126620333433543,3.1156499971368765,2.999372916666667,3.8111275329092082
113.0673272,34.83808031,3.39,1017.0,1178.0,1398.0,1888.0,2.993400824945504,3.3299495667656225,4.04319916666667,3.7432499999999824
113.068027,34.84489749,1.6925,1039.0,1149.0,1343.0,1052.0,3.1655457796722715,3.1389319709621786,1.8035692559523808,1.7203941666666747
113.0612839,34.8410097,4.9725,1021.0,1169.0,1360.0,998.0,3.036383951303037,3.109213888814004,4.569696805555551,4.254631499999997
113.0661202,34.84686314,3.755,1059.0,1222.0,1383.0,947.0,3.0088525473113705,3.075111566384285,3.75779375,3.771077000000014
113.0691454,34.85026629,3.9125,1040.0,1177.0,1356.0,1082.0,3.079939925206638,3.147686428444638,3.32849375,3.277507977272725
113.0621626,34.84144705,5.52,1023.0,1124.0,1354.0,1047.0,3.189233992078755,3.1396393418041004,3.473853749999998,4.110745000000003
113.0628814,34.83934129,2.1325,812.0,888.0,802.0,688.0,3.201436774640136,2.731783807812707,2.0594226190476195,2.376925000000005
113.0598972,34.8406967,1.9175,1039.0,1190.0,1372.0,993.0,3.035754094179971,3.104426868044553,2.8548929761904738,2.5081550000020054
113.0628993,34.839942,1.335,901.0,1015.0,1008.0,723.0,3.0927369291895133,2.8318629101833954,1.3685233333333326,1.3463199999999926
113.0647555,34.84392463,4.095,1043.0,1155.0,1348.0,1053.0,3.160575126422536,3.138594503677714,3.9000775595238086,3.907862553210708
113.0701972,34.83815966,1.66,1113.0,1318.0,1504.0,1420.0,2.9156495991501856,3.2343638196092828,2.738225,3.0774216666666727
113.0664686,34.84644523,4.035,1037.0,1163.0,1354.0,1040.0,3.113453631740676,3.131263319426905,3.075361666666668,3.645120895873066
113.0694093,34.84565354,1.563333333,1034.0,1158.0,1355.0,1050.0,3.1186006863829974,3.136344828312429,3.238855625,1.8319207575757497
113.0631956,34.84238842,4.185,1011.0,1140.0,1331.0,1062.0,3.0926408490081414,3.1436024266125404,3.7836666666666674,2.4660999999999973
113.0599869,34.84035176,3.2175,1039.0,1161.0,1361.0,1021.0,3.1270218586607683,3.122577236885802,3.197649166666668,2.9867093821839017
113.063828,34.8449657,3.8825,1052.0,1173.0,1388.0,1001.0,3.1353294343905134,3.111097538105379,2.46287652777778,2.796833104716064
113.070616,34.8476185,1.6525,1044.0,1161.0,1381.0,1038.0,3.1449420676822726,3.130496485306524,2.6509908333333323,2.424181368686867
113.0646661,34.84466321,4.5075,1060.0,1176.0,1380.0,946.0,3.154126287501981,3.0803318238911115,4.22503875,4.285917666666696
113.0621422,34.84119219,5.6025,1028.0,1136.0,1343.0,1056.0,3.1680103338416643,3.1421670602465235,3.875122142857143,4.700324642857139
113.0641703,34.84508158,4.21,1049.0,1185.0,1366.0,1007.0,3.087015514564776,3.1127688922880776,2.4204404166666684,3.5205699158204964
113.0668726,34.84807288,3.9775,1074.0,1195.0,1395.0,1015.0,3.143708673229405,3.115988202566092,2.748963353179048,2.550928621213455
113.0600644,34.84083119,2.0475,1061.0,1199.0,1365.0,993.0,3.0859876897911533,3.104280761792941,1.870856746031745,1.8904750000000023
113.0633777,34.84142736,2.1525,1012.0,1145.0,1340.0,1078.0,3.0801136606038355,3.1495414975511733,2.886652777777781,2.5653199999999825
113.0626315,34.83974485,1.9475,840.0,898.0,828.0,693.0,3.287904730009437,2.757218693469821,1.9625398809523824,1.9707166666660054
113.0623761,34.8406187,1.3825,985.0,1104.0,1233.0,950.0,3.1142861321191617,3.092838962736848,1.587070833343334,1.5484316667279985
113.0589826,34.82912451,3.335,805.0,863.0,801.0,866.0,3.276547080538585,3.1813412787848847,3.3293487500000007,3.3236449999999866
113.0630067,34.83924986,2.77,806.0,880.0,798.0,711.0,3.207439728665257,2.8793344111275463,2.656722212301588,2.720445
113.0631645,34.83972695,1.5275,917.0,998.0,975.0,714.0,3.222286319524912,2.8084900847403294,1.6403849999766658,1.589626666660009
113.0621145,34.83892244,2.8625,835.0,873.0,807.0,724.0,3.3721278890673574,2.939736529045448,3.197826249999999,3.143980000000016
113.0706337,34.84914897,3.0975,1043.0,1181.0,1376.0,990.0,3.078133496170345,3.104118747589808,2.8839807142857143,2.8070207575757498
113.0727632,34.8489638,1.72,1033.0,1182.0,1371.0,1031.0,3.039084950384556,3.12408305960462,1.137191309523809,1.0540299999999976
113.0584072,34.82912274,3.2425,806.0,853.0,798.0,756.0,3.325481245318514,3.642573435457801,3.307174166666664,3.344099999999999
113.0617619,34.84041284,3.9325,1018.0,1150.0,1291.0,1039.0,3.0860513257786764,3.1328809433116485,6.072536190476197,5.528290000000025
113.0656087,34.84765638,1.575,1086.0,1196.0,1419.0,1034.0,3.182008727900815,3.125037028409236,2.7311239880952365,2.556308750000004
113.066579,34.84555323,3.825,1038.0,1165.0,1366.0,1051.0,3.1106870849006114,3.135807669240525,3.0291225000133357,3.501784116161618
113.0629442,34.84040103,1.2275,1018.0,1141.0,1272.0,924.0,3.115175930707032,3.071259756290873,2.4843691666666645,2.1456133333340013
113.0621712,34.83931276,2.96,829.0,898.0,833.0,804.0,3.2378493493017046,3.0474496315357933,3.0048645833333354,2.855713333333997
113.0683928,34.84633924,2.2775,1044.0,1170.0,1371.0,1007.0,3.116334689355895,3.1144843940231173,2.475301666666663,2.762682189000414
113.0627565,34.84074647,1.1475,1012.0,1125.0,1320.0,1053.0,3.145489343405046,3.1422116897887964,1.2249054166666666,1.2675399999999997
113.064186,34.84534577,3.675,1036.0,1178.0,1385.0,1032.0,3.0624281325028093,3.1249950639747706,2.706931666666669,3.3295362746789987
113.0600228,34.84103501,1.45,1044.0,1148.0,1346.0,1039.0,3.18671022848325,3.133365130543816,1.677075,1.5874899999999958
113.0645064,34.84363974,4.0,1011.0,1132.0,1346.0,1077.0,3.1187626390942995,3.1509475835763,4.074970833333337,4.0355430577957
113.0628752,34.84054526,1.01,1012.0,1128.0,1304.0,985.0,3.1355994469911863,3.1088714358970697,1.2115953571428553,1.486378333334001
113.0611537,34.84176674,2.735,1049.0,1185.0,1367.0,980.0,3.087015514564776,3.0985969384723595,3.201077916666668,3.200694125535278
113.0639841,34.84010663,0.5525,1040.0,1178.0,1366.0,1022.0,3.0767988040129595,3.1207036333910634,2.723038571428572,3.2673897155172456
113.0685495,34.84759852,3.4175,1049.0,1160.0,1362.0,1034.0,3.165971764332049,3.1292794374093456,2.970854166666667,3.504915148848559
113.0603356,34.84075205,3.33,1050.0,1174.0,1372.0,983.0,3.125075726982608,3.101647154347064,3.4819488555194806,1.9326058333339937
113.0654346,34.84336144,2.125,1033.0,1178.0,1361.0,1028.0,3.0516136697029808,3.123351584028937,2.6160299999999994,2.241554619213346
113.0604564,34.84057748,4.275,1033.0,1161.0,1354.0,1016.0,3.105403425435469,3.12000074603494,4.303986875000001,3.6755161904761673
113.060445,34.84155036,0.4875,1027.0,1164.0,1346.0,1040.0,3.0741059123155097,3.130821554125532,0.8292124999999997,0.786619999999999
113.0590215,34.83944234,3.3775,1010.0,1148.0,1335.0,1083.0,3.063029102409196,3.1511539722852326,2.353390277777779,3.294374999999997
113.0655875,34.8439182,2.375,1039.0,1165.0,1360.0,1018.0,3.1142806555888782,3.120580362484008,2.7162683333333324,2.8224105332102165
113.0647955,34.84473168,3.9525,1038.0,1181.0,1362.0,993.0,3.060216318007072,3.105708838481565,3.545689999999994,3.7354664994748137
113.0630797,34.83865073,2.406666667,895.0,985.0,903.0,1905.0,3.179844609045652,3.3783926098689925,2.465339484116208,2.2133349999999923
113.0702151,34.84790274,2.35,1071.0,1211.0,1395.0,944.0,3.0841367832522764,3.07485005178528,3.175647678571429,2.551609999999998
113.0693193,34.85005185,3.635,1051.0,1177.0,1356.0,1077.0,3.119178292563312,3.146064454196781,3.6217329166666663,3.608196212162846
113.0667743,34.84873852,2.5625,1084.0,1256.0,1425.0,965.0,2.99455125239134,3.0822905560152134,2.471850178571429,2.4900091666666753
113.0584403,34.84000533,1.865,1032.0,1164.0,1346.0,1059.0,3.092231906837874,3.139531664228591,1.9920000000000024,1.7389599999999898
113.0618022,34.8423065,3.0975,1061.0,1194.0,1375.0,964.0,3.1014318124115263,3.088810501780543,3.132169196428572,3.140741111112452
113.0623912,34.84303813,3.95,1039.0,1177.0,1367.0,978.0,3.0763522442588425,3.098142355455105,3.6419179166666655,3.750181639520208
113.0645977,34.8443738,5.2875,1038.0,1160.0,1369.0,1007.0,3.126620333433543,3.1156499971368765,2.999372916666667,3.8212125329092084
113.058366,34.84014448,1.73,1032.0,1164.0,1353.0,1055.0,3.092231906837874,3.137666654071946,1.523492499999999,1.5465150000000092
113.0629329,34.84044862,1.17,1018.0,1141.0,1272.0,924.0,3.115175930707032,3.071259756290873,2.4843691666666645,2.2163783333340037
113.0600241,34.84078217,2.0775,1039.0,1190.0,1372.0,993.0,3.035754094179971,3.104426868044553,2.8548929761904738,2.538005000002005
113.058622,34.83974868,1.2275,1049.0,1169.0,1353.0,1036.0,3.1373274479260544,3.129102988590428,1.983845000000003,1.2703049999999887
113.0636755,34.84413127,4.3175,1035.0,1203.0,1377.0,935.0,2.981290403098619,3.0690070744721787,3.996310833333335,3.6907200000000002
113.0708127,34.85084624,2.445,1047.0,1167.0,1353.0,1080.0,3.136550036851503,3.1485502308257423,3.718371190476191,2.8992250000019957
113.0720054,34.85030608,1.625,1053.0,1188.0,1371.0,1029.0,3.0918526572261555,3.123185554218424,2.72077875,2.0534160000000115
113.0607624,34.84139528,3.25,1049.0,1198.0,1378.0,980.0,3.0467001159507845,3.0967694741089105,3.128575654761905,2.622563787884786
113.0619794,34.83898255,2.8275,829.0,898.0,829.0,771.0,3.2378493493017046,3.0006810682074856,2.945231249996669,2.8744799999999993
113.07172,34.85055533,2.1175,1025.0,1167.0,1357.0,1029.0,3.0573067249871144,3.125025536701332,2.629532499999999,2.1022899999999964
