Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4
113.0597101,34.84092483,0.8225,1050,1174,1368,993
113.0724964,34.84938711,2.465,1049,1161,1371,1026
113.0620788,34.84174602,4.285,1051,1174,1369,1009
113.0635136,34.84207327,3.79,1028,1132,1347,1071
113.0673865,34.8485187,3.4975,1073,1210,1399,983
113.0738616,34.83838699,1.3725,1016,1166,1332,1062
113.0598603,34.8409706,1.2825,1044,1148,1346,1039
113.0633303,34.83975326,1.5625,934,1027,1059,765
113.0634025,34.83913068,4.845,890,993,964,1066
113.0577385,34.82920721,3.73,907,1008,1072,1264
113.0698361,34.85171094,4.8575,1082,1216,1428,1154
113.0636868,34.84256448,3.8825,1028,1162,1350,1071
113.064763,34.84418107,4.1225,1021,1147,1333,1058
113.0629917,34.83926222,2.705,806,880,798,711
113.0604183,34.84157605,0.495,1027,1164,1346,1040
113.0714555,34.85077778,2.0625,1053,1151,1360,1047
113.0601575,34.83930419,6.905,1028,1149,1354,1170
113.0620967,34.84185035,5.0525,1045,1183,1369,958
113.06248,34.83957588,2.2525,824,902,825,720
113.0596318,34.84073974,1.3775,1044,1195,1368,1007
113.0656466,34.84721353,2.71,1074,1179,1379,1020
113.0651029,34.84516808,4.145,1053,1195,1374,944
113.0732493,34.83767496,1.7125,1029,1166,1363,1123
113.0646808,34.84364422,3.91,1017,1140,1342,1063
113.0693292,34.83861678,2.9025,1017,1174,1326,1164
113.06365,34.84161261,2.6525,1034,1132,1336,1101
113.0633867,34.83903651,4.3775,890,1022,950,1957
113.0676034,34.84736771,3.32,1052,1162,1355,1019
113.0699432,34.84845075,1.975,1049,1169,1385,977
113.0584007,34.84030315,0.6675,1037,1163,1359,1053
113.0617517,34.8422181,3.3,1061,1194,1375,964
113.0612174,34.83802992,3.365,819,874,819,801
113.0623536,34.83925604,3.1375,818,890,804,720
113.0652931,34.84698565,2.0375,1067,1205,1410,1018
113.0601202,34.83965949,6.8225,1017,1157,1339,1049
113.0722837,34.84974469,2.2475,1049,1211,1391,963
113.0638013,34.84024788,0.6825,1034,1157,1348,1045
113.0698622,34.84849718,2.4775,1059,1188,1386,991
113.0600283,34.84074968,2.295,1039,1190,1372,993
113.0714662,34.85076933,2.096666667,1053,1151,1360,1047
113.068632,34.84624382,2.4225,1066,1182,1371,1002
113.0608532,34.84125381,3.64,1044,1194,1378,975
113.0658369,34.83855686,1.9925,1074,1192,1385,1290
113.0644839,34.84362769,3.8325,1011,1132,1346,1077
113.0684762,34.8481509,3.1775,1048,1209,1368,1019
113.0645031,34.84295416,3.05,1022,1157,1346,1053
113.0634808,34.83954903,1.6,884,998,972,737
113.0696297,34.84803644,2.3525,1048,1180,1386,986
113.0647291,34.84268605,2.87,1033,1144,1349,1044
113.0680022,34.84489031,1.6925,1039,1149,1343,1052
113.0681507,34.84657218,2.6225,1039,1174,1364,1025
113.0610684,34.84175882,2.5525,1049,1185,1367,980
113.0622721,34.83977815,2.4725,823,890,836,726
113.0671599,34.84671192,3.93,1048,1172,1354,1050
113.0620407,34.83776482,3.0075,830,886,844,927
113.0648182,34.83906207,2.5225,991,1125,1277,1206
113.0621976,34.83998679,1.8275,879,978,951,917
