Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4
113.0638106,34.83930472,4.59,956,1068,1116,1061
113.0620567,34.83771622,2.9575,830,886,844,927
113.0634695,34.83955454,1.5725,884,998,972,737
113.0623764,34.84380061,1.415,1054,1193,1369,963
113.0629725,34.84311216,3.6875,1032,1172,1366,959
113.0679573,34.83812924,3.6175,1023,1178,1347,1499
113.0620657,34.84303239,1.415,1044,1198,1360,997
113.0618758,34.83781682,3.35,824,865,801,764
113.0620643,34.83894736,2.7475,835,873,807,724
113.0631714,34.84240663,4.1975,1011,1140,1331,1062
113.0636076,34.83945125,3.93,884,980,968,833
113.0649417,34.8443031,3.885,1015,1155,1348,1072
113.0668088,34.84813351,3.735,1074,1195,1395,1015
113.0626168,34.83965673,1.9075,840,898,828,693
113.0617554,34.83849309,3.265,824,903,837,866
113.0748816,34.8383771,0.81,1022,1154,1358,1110
113.061279,34.84104179,5.12,1021,1169,1360,998
113.063322,34.83914857,5.415,828,905,867,940
113.0643036,34.84249348,2.5425,1017,1145,1343,1061
113.0622678,34.838855,3.21,835,873,807,724
113.0692063,34.85014446,4.055,1045,1164,1345,1077
113.0645577,34.84370151,4.4225,1017,1140,1349,1072
113.0716038,34.85020253,1.97,1047,1184,1360,1033
113.0626785,34.84060802,1.0325,985,1112,1240,955
113.0620114,34.84314686,0.2725,1055,1207,1389,955
113.0629625,34.84427971,1.3575,1041,1169,1359,1001
113.0604289,34.84119687,1.8425,1044,1194,1371,984
113.0668459,34.84476599,2.2925,1044,1177,1377,995
113.060168,34.83954459,7.04,1033,1157,1365,1128
113.0601213,34.84102648,1.6075,1039,1182,1361,1002
113.0700626,34.84930004,2.545,1047,1196,1380,1016
113.062178,34.84196724,4.005,1045,1183,1369,958
113.0587193,34.83966668,1.5025,1044,1185,1353,1031
113.0627569,34.84072398,1.085,1012,1125,1320,1053
113.0589516,34.83949519,2.76,1038,1156,1338,1064
113.061508,34.84077233,6.84,1029,1129,1331,1043
113.0623525,34.83759746,2.53,852,979,931,1697
113.0620148,34.84177956,3.925,1039,1187,1361,991
113.0649709,34.83930429,1.6075,1032,1158,1336,1136
113.0614276,34.8415582,4.3425,1051,1183,1365,986
113.0643254,34.84564162,2.67,1058,1216,1399,1056
113.0680254,34.84664585,2.66,1044,1170,1364,1044
113.062317,34.84088985,2.8775,1023,1132,1322,1079
113.0630053,34.84133231,3.5425,1017,1149,1329,1079
113.0715627,34.85071467,2.0925,1053,1151,1360,1047
113.07119,34.84912523,2.425,1048,1181,1376,971
113.0609091,34.84173013,2.2675,1049,1206,1382,980
113.0717256,34.84830206,1.0,1061,1166,1375,999
113.0636378,34.84260539,3.9175,1028,1162,1350,1071
113.0600015,34.83986678,5.635,1022,1128,1332,1058
113.0704987,34.8477125,1.915,1049,1194,1381,1005
113.0635575,34.83951294,1.9225,917,1011,1044,793
113.0631331,34.83866321,2.0175,895,985,903,1905
113.0635164,34.84443718,3.395,1041,1169,1373,1001
113.0625249,34.84065356,1.3125,1012,1125,1294,1057
113.0631617,34.8445344,1.77,1069,1203,1402,1019
113.0748872,34.83836517,0.925,1022,1154,1358,1110
113.0638042,34.83940288,2.77,956,1068,1116,1061
113.0628769,34.84274286,4.8225,1033,1194,1360,992
113.0658363,34.83836486,4.0825,1091,1305,1555,2217
113.0613832,34.84150825,4.02,1051,1183,1365,986
113.0680867,34.83834374,3.255,1017,1174,1326,1383
113.0688251,34.84601504,1.796666667,1033,1153,1360,1039
113.0696447,34.85177153,4.22,1076,1203,1418,1098
113.0614976,34.84052791,7.82,1029,1141,1313,1025
113.0665752,34.84919299,2.0425,1149,1335,1586,1249
113.0717884,34.8376901,1.41,1090,1242,1442,1604
113.0636125,34.84413935,4.4825,1035,1203,1377,935
113.0636219,34.83942799,3.8375,884,980,968,833
113.0614263,34.84058925,7.8125,1029,1141,1313,1025
113.0629349,34.84043999,1.19,1018,1141,1272,924
113.0626408,34.84301371,4.575,1032,1159,1362,991
113.06913,34.84584772,1.5475,1033,1140,1324,1086
113.0688717,34.84725073,2.5125,1049,1181,1355,1002
113.0631822,34.83971239,1.5675,917,998,975,714
113.0618109,34.83784517,3.395,802,865,794,736
113.0638846,34.83933233,5.31,1018,1178,1264,1341
113.0603397,34.84124119,1.7725,1044,1194,1371,984
113.0645825,34.84353976,5.625,1017,1140,1342,1063
113.0714274,34.84918423,2.395,1048,1198,1391,966
113.0649727,34.84478517,4.445,1032,1176,1351,1035
113.0587298,34.83829811,7.9825,1027,1161,1350,1081
113.06,34.84102844,1.4525,1044,1148,1346,1039
113.0601856,34.84088687,1.8875,1061,1199,1365,993
113.065243,34.84318065,2.525,1044,1165,1365,1028
113.0623435,34.83760398,2.735,852,979,931,1697
113.0656361,34.84800292,1.4825,1141,1301,1530,1113
113.0637501,34.83936699,2.305,956,1068,1116,1061
113.0611443,34.84008007,6.72,1046,1150,1406,1361
113.0639685,34.84404869,3.73,1032,1172,1358,969
113.0587934,34.83949936,2.1875,1044,1160,1338,1050
113.0619403,34.83789245,3.4725,824,865,801,764
113.061839,34.8384582,3.19,824,903,837,866
113.0647143,34.84635584,1.6075,1083,1259,1442,1042
113.0653473,34.84686998,2.725,1067,1205,1410,1018
113.0604784,34.84148324,0.545,1027,1164,1346,1040
113.0619079,34.83940115,2.5975,846,932,905,1060
113.0701036,34.84839929,2.3875,1049,1186,1385,968
113.0705085,34.84770527,1.9,1049,1194,1381,1005
113.066977,34.84607505,3.38,1042,1184,1365,1036
113.0633684,34.83959909,1.6525,856,981,921,709
113.0631846,34.84004307,1.4275,990,1115,1214,831
113.0621526,34.83767845,3.0325,830,886,844,927
113.06435,34.84210386,1.4225,1017,1136,1332,1071
113.0717745,34.83762862,1.625,1090,1242,1442,1604
113.066561,34.84900996,1.825,1106,1256,1428,983
113.0679323,34.84490842,1.645,1039,1149,1343,1052
113.0738599,34.83801149,1.805,999,1158,1332,1025
113.0702073,34.83846703,2.7975,1032,1153,1324,1072
113.0725332,34.83850412,1.793333333,1043,1191,1336,1322
113.0613324,34.84101328,5.4175,1021,1169,1360,998
113.0588195,34.83897908,5.1725,1016,1152,1321,1081
113.0643721,34.84495653,4.4275,1049,1197,1387,960
113.0732689,34.83829381,2.18,1032,1170,1340,1151
113.0656305,34.84779675,1.4225,1136,1288,1494,1080
113.0629522,34.83965705,1.975,917,998,975,714
113.063782,34.83933538,3.585,956,1068,1116,1061
113.0627649,34.84187129,4.21,1022,1148,1349,1053
113.0609053,34.83971444,5.2025,1056,1153,1419,1310
113.0732689,34.83829381,2.18,1032,1170,1340,1151
113.0591275,34.83939465,4.215,1010,1148,1335,1083
113.0598469,34.84081851,1.47,1050,1174,1368,993
113.0684273,34.84769589,2.985,1054,1173,1351,1044
113.0686164,34.85061594,4.1275,1045,1220,1405,1059
113.0617372,34.84196048,3.7,1039,1162,1361,967
113.0679271,34.84492481,1.7475,1039,1149,1343,1052
113.0591731,34.84053993,1.473333333,1043,1176,1356,1021
113.0633181,34.84066544,1.045,1012,1141,1336,1073
113.0598434,34.84094373,1.2325,1050,1174,1368,993
113.0629356,34.83991684,1.33,901,1015,1008,723
