Longitude,Latitude,Elevation,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_10,Band_11,Band_12
104.271331787109,30.302360534668,16.1,-5.419449613,-5.768516876,-6.188412752,-5.751319928,-5.61069781,-5.219786572,-5.538654207,-5.619147253,2.70579973775325,3.26238632427441,0.829392802936989
104.273857116699,30.2988567352295,15.46,-5.640976813,-5.593458607,-5.77272569,-5.560282415,-5.412149394,-5.221338234,-5.22115268,-5.645402019,2.82400341232941,3.38222361091146,0.834954673966214
104.273956298828,30.2989463806152,17.39,-5.640785813,-5.679808892,-5.553370554,-5.67436456,-5.383311618,-4.884278535,-5.325765805,-5.79657723,2.76485807948789,3.46052033409492,0.798971776656536
104.274063110352,30.2989463806152,18.2,-5.641755165,-5.777622872,-5.553370554,-5.67436456,-5.383311618,-4.884278535,-5.327104874,-6.134457343,2.69983698668007,3.46052033409492,0.780182378956083
104.273750305176,30.2989463806152,15.08,-5.639231222,-5.550878877,-5.551467355,-5.457136922,-5.412026622,-5.22172851,-5.22115268,-5.318028957,2.85375417054061,3.46124845964031,0.824486945625733
104.274169921875,30.2989482879639,18.01,-5.692337381,-5.594322588,-5.555133371,-5.636401936,-5.383782045,-5.301668261,-5.354174721,-6.135194282,2.82340370549275,3.45984667902468,0.816048792742647
104.273750305176,30.299036026001,15.26,-5.54697541,-5.474004356,-5.549419791,-5.42475019,-5.409845836,-5.22172851,-5.060462997,-5.317707671,2.90842073635837,3.46203277185787,0.840090469391366
104.274169921875,30.2990379333496,17.77,-5.692337381,-5.403047619,-5.87491837,-5.63625013,-5.824853133,-5.301668261,-5.354174721,-6.02578666,2.95993962704906,3.34943490132316,0.883713137962396
104.274169921875,30.2990379333496,17.73,-5.692337381,-5.403047619,-5.87491837,-5.63625013,-5.824853133,-5.301668261,-5.354174721,-6.02578666,2.95993962704906,3.34943490132316,0.883713137962396
104.274375915527,30.2990398406982,17.91,-5.742834203,-5.594322588,-5.595974399,-5.7186457,-6.153162839,-5.416054541,-5.507678847,-6.257390362,2.82340370549275,3.44444413554479,0.819697923492722
104.273643493652,30.2991256713867,14.01,-5.545388035,-5.632044264,-5.509563155,-5.455858297,-5.32290963,-4.90106632,-4.958845323,-5.642805448,2.79737557090759,3.47749768220417,0.804421979983754
104.273857116699,30.2991256713867,17.2,-5.546801663,-5.473246712,-5.551175651,-5.557442819,-5.32290963,-5.080596143,-5.220132317,-5.154514773,2.90896551557448,3.46136013522139,0.840411110642326
104.274269104004,30.299129486084,17.81,-5.741972155,-5.403047619,-5.822422484,-5.45880162,-6.152138873,-5.415699332,-5.507678847,-6.077184156,2.95993962704906,3.36599404571467,0.879365675295067
104.274475097656,30.299129486084,19.71,-5.743696921,-5.639379699,-5.552788283,-5.716147289,-5.783001059,-5.416530462,-5.61409898,-6.256557678,2.7923495499548,3.46074300843673,0.806864174296533
104.273857116699,30.2991256713867,17.26,-5.546801663,-5.473246712,-5.551175651,-5.557442819,-5.32290963,-5.080596143,-5.220132317,-5.154514773,2.90896551557448,3.46136013522139,0.840411110642326
104.274269104004,30.299129486084,17.9,-5.741972155,-5.403047619,-5.822422484,-5.45880162,-6.152138873,-5.415699332,-5.507678847,-6.077184156,2.95993962704906,3.36599404571467,0.879365675295067
