Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_10,stumpf,log-linear,random_forest_prediction,random_forest_depth
104.267738342285,30.3245391845703,12.25,-4.853187315,-4.797672478,-4.903458412,-4.738787393,-4.407020384,-4.063324537,-4.144460405,-4.473760255,-4.714427381,19.330333401952032,17.94266105279336,10.992605,11.26912063492063
104.267425537109,30.3244476318359,8.49,-4.730283828,-4.707003638,-4.76806999,-4.551952829,-4.394619357,-4.017049598,-4.119269337,-4.564337735,-4.599508076,19.220047614709813,18.490001068184057,9.39906333333333,9.413650317460323
104.267532348633,30.3244476318359,8.82,-4.730760792,-4.797672478,-4.825221711,-4.634553138,-4.429417511,-4.032607726,-4.119671018,-4.517789725,-4.599644923,18.900881201384863,18.1891464668839,10.320044999999997,10.737911984126967
104.267631530762,30.3244495391846,10.89,-4.853320396,-4.855177568,-4.883369889,-4.634886958,-4.429417511,-4.063368852,-4.153418245,-4.506483989,-4.714520206,19.13053221052272,18.002936262926987,10.896494999999994,11.123531666666661
104.267738342285,30.3244495391846,11.56,-4.853994488,-4.855177568,-4.902996552,-4.722886328,-4.406759006,-4.063324537,-4.145147971,-4.506441958,-4.761581521,19.132863749488564,17.90112242748221,10.928625,11.34735507936507
104.267631530762,30.3243579864502,9.57,-4.877297484,-4.897037512,-4.883369889,-4.649857184,-4.429417511,-4.055798669,-4.161710683,-4.564515054,-4.71467526,19.06920692376048,17.980548589794967,11.037064999999997,11.179282222222223
104.267738342285,30.3243598937988,11.0,-4.877161113,-4.897037512,-4.904609662,-4.722886328,-4.406759006,-4.056018706,-4.161710683,-4.564737504,-4.761581521,19.06873794346575,17.90160746208499,11.156703333333336,11.417026666666665
104.249534606934,30.3241653442383,12.29,-4.299437307,-4.23494937,-3.805616281,-4.030006718,-3.855648795,-3.669706627,-3.617640986,-4.221084894,-4.468257528,19.394316331257954,19.24544609282151,8.848874999999998,9.780130000000012
104.267738342285,30.3241786956787,12.14,-4.878679975,-4.878990326,-4.90622412,-4.740275763,-4.551914185,-4.104005588,-4.224904602,-4.665193814,-4.794202268,19.135887630042618,18.12410836000603,11.315353333333334,11.627386111111107
104.249435424805,30.3239841461182,12.78,-4.299818999,-4.256989426,-3.765726031,-3.985386772,-3.855794227,-3.537248693,-3.505767051,-3.976853667,-4.096634327,19.307338318400923,18.915379673220333,8.405565,9.705355000000013
104.267951965332,30.324089050293,12.41,-4.879791144,-4.801885937,-5.039874032,-4.80675302,-4.540352067,-4.041605954,-4.234521716,-4.678811869,-4.844956644,19.40744160542684,18.16179078213633,11.33245,11.816353333333321
104.267120361328,30.32399559,8.67,-4.993411279,-4.74285719,-4.805487322,-4.607466481,-4.418058223,-4.025267173,-4.214937396,-4.600825865,-4.761025502,20.0032863595371,18.328599199929425,10.472809999999996,10.749661111111125
104.267433166504,30.3239974975586,11.2,-4.99543622,-4.878607691,-4.992502278,-4.739995593,-4.489176695,-4.079767974,-4.224556055,-4.589045217,-4.862391252,19.534036567685007,17.89319689725248,11.029300000000008,11.532855555555539
104.267532348633,30.3239974975586,11.73,-4.996062043,-4.898068415,-4.94740526,-4.739995593,-4.526772132,-4.104005588,-4.224606213,-4.542137021,-4.879801585,19.46920167584329,17.81992818187889,10.620866666666668,11.52496666666665
104.267639160156,30.3239974975586,12.22,-4.995908201,-4.878607691,-4.886533148,-4.740275763,-4.551610296,-4.112841347,-4.23366551,-4.589045217,-4.880619414,19.53562184851603,17.9520015596209,11.08312,11.626535555555549
104.268157958984,30.3240013122559,12.39,-4.881597115,-4.966998724,-5.017527658,-4.808050923,-4.40911333,-4.057339188,-4.217110262,-4.554690724,-4.81135271,18.84648595287831,17.685812916940385,10.856450000000002,11.660587222222217
104.249435424805,30.3238048553467,12.49,-4.300579251,-4.258254837,-3.792511235,-3.986019471,-3.964438378,-3.537248693,-3.501495675,-3.808099233,-4.147057418,19.305283560776928,18.73914523392622,8.283465,9.632373333333346
104.267433166504,30.3239059448242,11.51,-4.99543622,-4.878607691,-4.947526046,-4.773199209,-4.489105293,-4.07999379,-4.225054881,-4.678112722,-4.91675399,19.534036567685007,17.99770880544558,11.187499999999998,11.593336111111103
104.268363952637,30.3239116668701,12.37,-4.884657397,-4.946838508,-4.910160579,-4.879382022,-4.47957975,-4.089527498,-4.172994595,-4.566871748,-4.795456495,18.925009165148424,17.66401908835156,11.013933333333334,12.073091111111117
104.268577575684,30.3239135742188,13.36,-5.027830274,-4.947794949,-4.911088756,-4.79337116,-4.433774383,-4.089983722,-4.16484155,-4.566826944,-4.918225131,19.405812635759503,17.62518885898197,11.019533333333332,11.887261666666673
104.249435424805,30.3237133026123,12.61,-4.351895562,-4.246859199,-3.854826073,-4.016041743,-3.964642931,-3.53737361,-3.579593997,-3.808099233,-4.147139062,19.5528906682855,18.74867065214087,8.283465,9.632373333333346
104.267639160156,30.3238162994385,11.33,-4.816074419,-5.034930582,-4.907493347,-4.651639714,-4.478594222,-4.146085431,-4.234169223,-4.62717695,-4.936013427,18.39370253672772,17.915112387836572,11.168999999999984,11.362877777777767
104.26774597168,30.3238182067871,11.36,-4.816723512,-4.841886276,-5.016358013,-4.666436739,-4.478946155,-4.112841347,-4.234370779,-4.652879889,-4.880619414,19.04945843324569,18.24392583813197,11.228200000000005,11.524095
104.267845153809,30.3238182067871,11.63,-4.817244875,-4.821685827,-5.139017667,-4.696797588,-4.540727734,-4.073190965,-4.244131149,-4.720142639,-4.863121052,19.121474589237778,18.30186318287308,10.57515,11.467070555555557
104.268157958984,30.3238201141357,12.31,-4.818807252,-4.843234342,-4.995663418,-4.860774145,-4.554881563,-4.073683583,-4.254039708,-4.641051541,-4.778873745,19.05204917057813,18.07168152073621,11.167550000000004,11.902016666666674
104.268363952637,30.3238220214844,12.22,-4.884657397,-4.883830647,-4.975014523,-4.897138989,-4.411211433,-4.089755751,-4.182216398,-4.641243736,-4.79562587,19.13979489349097,17.832321753947664,11.233700000000004,12.208886666666674
