Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_10,stumpf,log-linear,random_forest_prediction,random_forest_depth
104.267669677734,30.3196659088135,21.78,-4.668979317,-4.888033883,-5.200735654,-4.8820867,-4.639287901,-4.445060457,-4.627301842,-5.255304145,3.36129426984491,18.454074742164124,19.34946225734463,19.769099999999984,18.82699222222221
104.272041320801,30.3053436279297,14.57,-5.518021524,-5.484358292,-6.228442527,-5.772087853,-5.48627684,-5.157508395,-5.283208107,-5.542231596,2.90098744599201,19.289051188902704,17.387825103891412,15.15413666666667,14.676163333333319
104.269828796387,30.3090305328369,27.53,-5.242342423,-5.542069843,-5.595128666,-5.707511869,-5.574342473,-5.102139978,-5.414605222,-5.836367874,2.85995656169662,18.308709982912404,19.38726385122389,23.37730000000001,23.979631666666688
104.272987365723,30.3041744232178,9.85,-5.239344522,-5.712817625,-5.980696501,-5.743590813,-5.344033267,-4.715876233,-4.883032452,-5.226043368,2.74267785715447,17.821944828625703,15.982286791757168,10.424266666666664,9.71297388888891
104.270149230957,30.3080387115479,18.0,-5.255908633,-5.409982009,-5.60852598,-5.372882222,-5.277677662,-5.025651842,-5.394416053,-5.893134678,2.95486088215106,18.73173770480281,20.18063986849907,18.09692500000002,17.153069444444437
104.267143249512,30.3202056884766,16.36,-4.757041485,-4.749109192,-5.039230972,-4.877676966,-4.677344703,-4.313113674,-4.521042057,-5.251129131,3.47677017402038,19.21869015592756,19.39776306007869,16.63316666666666,16.736056666666638
104.267669677734,30.3199367523193,17.22,-4.667303479,-4.770725834,-5.197774176,-4.917258434,-4.741933064,-4.454932576,-4.586396273,-5.253031485,3.45862619611344,18.838241585097705,19.433511554038613,18.71549999999999,18.72417222222221
104.267196655273,30.3138885498047,18.65,-5.170458549,-4.99439122,-5.338271814,-5.100074247,-5.184386927,-4.828631933,-5.14853087,-5.665131461,3.27478993246735,19.7479404042341,20.223557239091058,22.220741666666655,17.751095634920663
104.275619506836,30.2994976043701,18.94,-5.923511119,-5.735317861,-5.558378651,-6.011502849,-5.661381496,-5.250035714,-6.1360456,-6.563872331,2.72769708564696,19.702743497893977,27.48388447791558,19.024400000000025,19.387777539682574
104.26717376709,30.3168659210205,27.22,-4.885036195,-4.865355774,-5.1399015,-5.121884356,-4.873692277,-4.688129047,-4.886954844,-5.542951663,3.37995779874436,19.25673976705903,20.052252961536624,26.751416666666685,26.876761111111062
104.265449523926,30.3101787567139,26.23,-5.259783188,-5.483345527,-5.66529652,-5.68977807,-5.255646574,-5.009371484,-5.16599612,-5.93221659,2.90171357116317,18.529927233432744,19.26353704474132,22.105441666666664,20.70095277777779
104.268997192383,30.3090267181396,18.43,-5.236117947,-5.459026403,-5.869934402,-5.446013759,-5.261288801,-5.120210874,-5.407464184,-5.750725316,2.91921200380173,18.52859982646896,19.441144734601448,17.649399999999993,18.0998
104.267333984375,30.3231830596924,10.2,-4.738159472,-4.94695975,-5.043848543,-4.808947082,-4.581146607,-4.14744265,-4.36329319,-4.838756522,3.3131553092074,18.49878303362624,18.316153870668536,10.037728333333323,9.886636111111104
104.269630432129,30.308126449585,27.13,-5.252647386,-5.367498285,-5.487312634,-5.563259909,-5.327712115,-5.154623143,-5.229206259,-6.030265046,2.98612304641158,18.84709982729408,20.398220358130708,23.482975000000007,21.879994444444424
104.267021179199,30.3232727050781,13.28,-4.715984247,-4.922277595,-4.867439836,-4.757690762,-4.478735867,-4.155208912,-4.234926748,-4.853243835,3.33325591467972,18.503419415858133,18.4097991028373,11.749798333333324,11.80354976190478
104.26749420166,30.3157844543457,26.68,-5.12365131,-4.981760596,-5.293178909,-5.132555371,-4.917354428,-4.636568256,-4.969262418,-5.488723342,3.28497227248052,19.64271846701681,19.51312282237135,25.32333666666667,23.627196031746
104.258163452148,30.3116722106934,18.46,-5.187783499,-5.403768371,-5.331351844,-5.316874923,-4.959920063,-4.533807977,-4.954899887,-5.474338693,2.95941130943713,18.542239242454546,18.39583078533333,18.620699999999974,18.81209428571425
104.267028808594,30.321647644043,26.54,-4.726584478,-5.001980518,-4.919816291,-4.767119939,-4.795245162,-4.380650793,-4.478453018,-5.111980946,3.26868374642362,18.282783345255385,18.95100576861943,22.24028333333333,21.839401666666674
104.266693115234,30.3114490509033,24.57,-5.133129291,-5.782192498,-5.706766805,-5.608652041,-5.252358116,-5.112763869,-5.37186542,-5.680759431,2.69685179180859,17.308874546133723,18.335718625543,23.146516666666663,22.67249253968253
104.27165222168,30.3019123077393,25.19,-5.592894272,-5.826478539,-6.200172359,-6.06100013,-5.824088843,-5.197253513,-5.445573453,-5.731948143,2.66816728722785,18.545234694579705,16.60501023473369,22.02007666666665,22.773345952380943
104.266777038574,30.3140659332275,17.0,-4.929041719,-4.991248206,-5.505742443,-5.097245387,-4.963846867,-4.77707764,-4.996587876,-5.32951035,3.27732138253503,18.99041378757736,19.347768405415955,17.388350000000003,17.926740000000013
