Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_10,stumpf,log-linear,random_forest_prediction,random_forest_depth
104.267669677734,30.3196659088135,21.78,-4.668979317,-4.888033883,-5.200735654,-4.8820867,-4.639287901,-4.445060457,-4.627301842,-5.255304145,3.36129426984491,18.287196244445,19.75700950398303,21.362091666666657,19.436741666666645
104.272041320801,30.3053436279297,14.57,-5.518021524,-5.484358292,-6.228442527,-5.772087853,-5.48627684,-5.157508395,-5.283208107,-5.542231596,2.90098744599201,19.319592605940585,18.65602787938276,16.4741,17.237224999999988
104.269828796387,30.3090305328369,27.53,-5.242342423,-5.542069843,-5.595128666,-5.707511869,-5.574342473,-5.102139978,-5.414605222,-5.836367874,2.85995656169662,18.10746177513468,19.74094747156493,19.66346666666668,19.807225
104.272987365723,30.3041744232178,9.85,-5.239344522,-5.712817625,-5.980696501,-5.743590813,-5.344033267,-4.715876233,-4.883032452,-5.226043368,2.74267785715447,17.505606984917137,17.781075923327638,13.315400000000004,10.146865000000002
104.270149230957,30.3080387115479,18.0,-5.255908633,-5.409982009,-5.60852598,-5.372882222,-5.277677662,-5.025651842,-5.394416053,-5.893134678,2.95486088215106,18.630509200720525,20.13985593132514,20.51195,18.237775000000003
104.267143249512,30.3202056884766,16.36,-4.757041485,-4.749109192,-5.039230972,-4.877676966,-4.677344703,-4.313113674,-4.521042057,-5.251129131,3.47677017402038,19.232595571810634,19.63894954046912,18.45169999999999,17.544608333333326
104.267669677734,30.3199367523193,17.22,-4.667303479,-4.770725834,-5.197774176,-4.917258434,-4.741933064,-4.454932576,-4.586396273,-5.253031485,3.45862619611344,18.762194614041,19.787678860180616,18.76329999999999,18.61514999999997
104.267196655273,30.3138885498047,18.65,-5.170458549,-4.99439122,-5.338271814,-5.100074247,-5.184386927,-4.828631933,-5.14853087,-5.665131461,3.27478993246735,19.886980534172807,20.13433940652879,22.127856666666663,21.548109999999983
104.275619506836,30.2994976043701,18.94,-5.923511119,-5.735317861,-5.558378651,-6.011502849,-5.661381496,-5.250035714,-6.1360456,-6.563872331,2.72769708564696,19.831097375026616,21.266271676323296,20.28500000000001,19.755169999999968
104.26717376709,30.3168659210205,27.22,-4.885036195,-4.865355774,-5.1399015,-5.121884356,-4.873692277,-4.688129047,-4.886954844,-5.542951663,3.37995779874436,19.279641545672405,20.08673543049869,24.286050000000014,25.355753333333304
104.265449523926,30.3101787567139,26.23,-5.259783188,-5.483345527,-5.66529652,-5.68977807,-5.255646574,-5.009371484,-5.16599612,-5.93221659,2.90171357116317,18.38098312466417,19.452500792320087,20.09008000000001,20.791008333333334
104.268997192383,30.3090267181396,18.43,-5.236117947,-5.459026403,-5.869934402,-5.446013759,-5.261288801,-5.120210874,-5.407464184,-5.750725316,2.91921200380173,18.37934186864433,19.953950833954288,16.164216666666665,17.52267499999999
104.267333984375,30.3231830596924,10.2,-4.738159472,-4.94695975,-5.043848543,-4.808947082,-4.581146607,-4.14744265,-4.36329319,-4.838756522,3.3131553092074,18.342475261732773,19.06545734910766,9.8694,9.898010000000003
104.269630432129,30.308126449585,27.13,-5.252647386,-5.367498285,-5.487312634,-5.563259909,-5.327712115,-5.154623143,-5.229206259,-6.030265046,2.98612304641158,18.7731472786922,20.119296731890955,20.486850000000008,20.570262500000013
104.267021179199,30.3232727050781,13.28,-4.715984247,-4.922277595,-4.867439836,-4.757690762,-4.478735867,-4.155208912,-4.234926748,-4.853243835,3.33325591467972,18.34820785953886,19.094182303023995,10.72646,12.148422500000013
104.26749420166,30.3157844543457,26.68,-5.12365131,-4.981760596,-5.293178909,-5.132555371,-4.917354428,-4.636568256,-4.969262418,-5.488723342,3.28497227248052,19.756880163609083,19.6881615952823,23.21190666666666,22.943427499999988
104.258163452148,30.3116722106934,18.46,-5.187783499,-5.403768371,-5.331351844,-5.316874923,-4.959920063,-4.533807977,-4.954899887,-5.474338693,2.95941130943713,18.396206156842453,18.96500758035357,19.31309285714285,20.48345
104.267028808594,30.321647644043,26.54,-4.726584478,-5.001980518,-4.919816291,-4.767119939,-4.795245162,-4.380650793,-4.478453018,-5.111980946,3.26868374642362,18.075405102772866,19.466869844035784,18.89533333333333,19.28181333333336
104.266693115234,30.3114490509033,24.57,-5.133129291,-5.782192498,-5.706766805,-5.608652041,-5.252358116,-5.112763869,-5.37186542,-5.680759431,2.69685179180859,16.871227542352983,19.410970181349377,21.839900000000004,23.496618333333327
104.27165222168,30.3019123077393,25.19,-5.592894272,-5.826478539,-6.200172359,-6.06100013,-5.824088843,-5.197253513,-5.445573453,-5.731948143,2.66816728722785,18.399909846793378,18.072412273104668,17.81014166666665,20.704799999999974
104.266777038574,30.3140659332275,17.0,-4.929041719,-4.991248206,-5.505742443,-5.097245387,-4.963846867,-4.77707764,-4.996587876,-5.32951035,3.27732138253503,18.950346062832608,19.885221867317124,21.543700000000005,20.549458333333337
104.273414611816,30.3019218444824,24.09,-5.517277561,-5.790225505,-5.949502608,-5.909761289,-5.485394009,-5.132896145,-5.363077602,-5.952972588,2.69161555519295,18.255303593376937,18.66171748896411,18.044,19.08072499999999
104.267463684082,30.3191242218018,20.28,-4.786075475,-4.934441612,-5.421051652,-4.902870145,-4.826608627,-4.505318817,-4.686345178,-5.280899814,3.32333829734381,18.592574152786653,19.651420512942533,22.062400000000004,21.30952999999998
