Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_10
104.271728515625,30.3057022094727,13.41,-5.555587676,-5.834023836,-8.751099964,-5.680599853,-5.624479397,-5.305624027,-5.452586144,-6.067899671,2.66332487116409
104.268783569336,30.3100166320801,19.03,-5.255410479,-5.163491528,-5.748400354,-5.162156114,-5.083607352,-5.157764961,-5.396175465,-6.004938602,3.14095483322914
104.267730712891,30.3119964599609,26.79,-5.256547173,-5.112122414,-5.708611029,-5.438572896,-5.334120628,-4.930318963,-5.142398707,-5.681453187,3.1811089971806
104.266731262207,30.3198413848877,20.52,-4.681822522,-4.768223454,-5.039757239,-4.792361709,-4.708354557,-4.343154007,-4.571428383,-5.350182002,3.46072334377616
104.271835327148,30.3048000335693,15.35,-5.4018013,-5.845869244,-5.901480116,-5.867003677,-5.709316871,-5.027739862,-5.209751152,-5.795127313,2.655749175
104.268569946289,30.3107376098633,9.32,-5.501101211,-5.051596513,-5.891349136,-5.42587784,-5.353155381,-5.128078569,-5.388999062,-5.814710843,3.22898933985151
104.268058776855,30.3092918395996,27.64,-5.434548642,-5.344321266,-5.500029037,-5.730925887,-5.454543115,-4.91097422,-5.399703601,-6.007098818,3.00332499523631
104.2587891,30.3115844726562,22.54,-5.323478597,-4.923399644,-5.585656235,-5.073714887,-4.88762691,-4.628760573,-4.721737801,-5.289589791,3.33234014921144
104.273735046387,30.3016529083252,20.17,-5.522595326,-5.316303407,-5.420412933,-5.688578319,-5.488796549,-5.206904445,-5.455619592,-6.229460524,3.02425615248417
104.269950866699,30.306324005127,17.88,-5.537431071,-6.047173155,-6.443656122,-5.705359141,-5.29027139,-5.321381602,-5.683462228,-5.82050626,2.53203973519758
104.273628234863,30.3018321990967,22.86,-5.813112599,-5.485830103,-5.742458862,-5.728601484,-5.4540283,-5.181183406,-5.455031643,-5.907337681,2.89993256849422
104.268608093262,30.3198528289795,26.8,-4.93975003,-5.001332712,-5.176800912,-4.921965126,-4.809621313,-4.434429772,-4.563414317,-5.211466686,3.26920460356876
104.27025604248,30.307409286499,11.39,-5.331985714,-5.41853934,-6.02846394,-5.615153186,-5.36819533,-5.235713235,-5.213214676,-6.155646064,2.94860651090021
