Longitude,Latitude,depth,stumpf,log-linear,random_forest_depth
104.267669677734,30.3196659088135,21.78,18.38266530528179,14.034420392604684,19.633739999999978
104.272041320801,30.3053436279297,14.57,19.301146914629527,9.532219258424316,14.100067777777783
104.269828796387,30.3090305328369,27.53,18.22276276127414,13.815518303341548,20.648108333333333
104.272987365723,30.3041744232178,9.85,17.687316708837614,7.310818506422599,10.022948333333348
104.270149230957,30.3080387115479,18.0,18.688097064197592,15.30661409200728,18.973116666666684
104.267143249512,30.3202056884766,16.36,19.223749144842344,13.917718849542618,16.619183333333297
104.267669677734,30.3199367523193,17.22,18.805252291458373,14.109136098303768,18.44246111111109
104.267196655273,30.3138885498047,18.65,19.80592918322668,15.303699541466226,18.12556333333336
104.275619506836,30.2994976043701,18.94,19.75621217931001,22.538054199723028,19.92760166666667
104.26717376709,30.3168659210205,27.22,19.26560405967689,15.133355814623949,26.75369999999997
104.265449523926,30.3101787567139,26.23,18.4661037286356,13.08734576746492,22.401986111111125
104.268997192383,30.3090267181396,18.43,18.464643569023792,14.119272027629757,16.928316666666664
104.267333984375,30.3231830596924,10.2,18.43184482843324,11.891649704086491,9.126736666666668
104.269630432129,30.308126449585,27.13,18.814996437631947,14.921226664533496,21.457627777777773
104.267021179199,30.3232727050781,13.28,18.43694489063324,11.895611912670114,12.71817222222225
104.26749420166,30.3157844543457,26.68,19.690184104893603,14.019449094388046,23.684277777777744
104.258163452148,30.3116722106934,18.46,18.47964704941407,11.922638331046432,19.80771047619047
104.267028808594,30.321647644043,26.54,18.19424322641396,12.986915960337454,21.17624333333337
104.266693115234,30.3114490509033,24.57,17.12293477853001,12.174005089649642,22.821297857142845
104.27165222168,30.3019123077393,25.19,18.48294207372212,8.021936361852195,23.069551428571437
104.266777038574,30.3140659332275,17.0,18.972643084309368,14.03358642730566,18.184361111111112
104.273414611816,30.3019218444824,24.09,18.354291693583946,10.351477891714342,20.873900000000017
104.267463684082,30.3191242218018,20.28,18.65434777450957,13.623632649438916,22.12157063492066
104.266143798828,30.3155078887939,16.58,19.74984359350924,13.614060748803812,18.439476111111087
104.270385742188,30.3046112060547,23.29,19.65749443681809,8.887028424546523,19.066655555555528
104.256500244141,30.3108501434326,16.14,19.11774174122448,12.697895435321875,15.169674444444457
